ShaharID, group, counterbalance, block_type, block, delay_condition, trial, chosen, unchosen, offer_left_image, offer_right_image, exp_value_chosen, exp_value_unchosen, choice_location, choice_key, exp_value1, exp_value2, exp_value3, exp_value4, RT, reward, coins_per_block, coins_per_task,ITI_duration,rt_deadline,choice_feedback_duration,outcome_duration
3pcOJtnn,200,1, practice, 1, 1, 1, 1, 4, 4, 1, 0.35, 0.65, right, 2, 0.35, 0.45, 0.55, 0.65, 1.9482668999989983, 0, 0.000000,0.000000,1.000000,6.000000,0.500000,1.000000
3pcOJtnn,200,1, practice, 1, 1, 2, 3, 2, 3, 2, 0.55, 0.45, left, 1, 0.35, 0.45, 0.55, 0.65, 1.4829314000089653, 1, 1.000000,1.000000,1.000000,6.000000,0.500000,1.000000
3pcOJtnn,200,1, practice, 1, 1, 3, 2, 1, 2, 1, 0.45, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 1.7885693000280298, 0, 1.000000,1.000000,1.000000,6.000000,0.500000,1.000000
3pcOJtnn,200,1, practice, 1, 1, 4, 3, 1, 3, 1, 0.55, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 0.6490980999951717, 0, 1.000000,1.000000,1.000000,6.000000,0.500000,1.000000
3pcOJtnn,200,1, practice, 1, 1, 5, 3, 1, 1, 3, 0.55, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 2.00069459999213, 1, 2.000000,2.000000,1.000000,6.000000,0.500000,1.000000
3pcOJtnn,200,1, test, 1, 7, 1, 1, 4, 4, 1, 0.35, 0.65, right, 2, 0.35, 0.45, 0.55, 0.65, 0.8286953999777324, 0, 0.000000,2.000000,1.000000,6.000000,0.500000,1.000000
3pcOJtnn,200,1, test, 1, 7, 2, 4, 3, 4, 3, 0.65, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 0.8000736999965739, 1, 1.000000,3.000000,1.000000,6.000000,0.500000,1.000000
3pcOJtnn,200,1, test, 1, 7, 3, 3, 2, 2, 3, 0.55, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 1.4049409000144806, 1, 2.000000,4.000000,1.000000,6.000000,0.500000,1.000000
3pcOJtnn,200,1, test, 1, 7, 4, 1, 2, 1, 2, 0.35, 0.45, left, 1, 0.35, 0.45, 0.55, 0.65, 1.098093600012362, 0, 2.000000,4.000000,1.000000,6.000000,0.500000,1.000000
3pcOJtnn,200,1, test, 1, 7, 5, 2, 1, 1, 2, 0.45, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 1.9782973999972455, 1, 3.000000,5.000000,1.000000,6.000000,0.500000,1.000000
3pcOJtnn,200,1, test, 1, 7, 6, 2, 1, 2, 1, 0.45, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 2.5788169000006747, 1, 4.000000,6.000000,1.000000,6.000000,0.500000,1.000000
3pcOJtnn,200,1, test, 1, 7, 7, 2, 3, 2, 3, 0.45, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 0.6173667999973986, 0, 4.000000,6.000000,1.000000,6.000000,0.500000,1.000000
3pcOJtnn,200,1, test, 1, 7, 8, 3, 1, 1, 3, 0.55, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 1.0921325999952387, 0, 4.000000,6.000000,1.000000,6.000000,0.500000,1.000000
3pcOJtnn,200,1, test, 1, 7, 9, 3, 2, 2, 3, 0.55, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 1.2249545000086073, 0, 4.000000,6.000000,1.000000,6.000000,0.500000,1.000000
3pcOJtnn,200,1, test, 1, 7, 10, 2, 3, 3, 2, 0.45, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 1.4176963999925647, 1, 5.000000,7.000000,1.000000,6.000000,0.500000,1.000000
3pcOJtnn,200,1, test, 1, 7, 11, 4, 1, 1, 4, 0.65, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 1.3257081000192557, 1, 6.000000,8.000000,1.000000,6.000000,0.500000,1.000000
3pcOJtnn,200,1, test, 1, 7, 12, 2, 1, 2, 1, 0.45, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 1.3806273000082, 1, 7.000000,9.000000,1.000000,6.000000,0.500000,1.000000
3pcOJtnn,200,1, test, 1, 7, 13, 2, 1, 1, 2, 0.45, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 1.0435966000077315, 0, 7.000000,9.000000,1.000000,6.000000,0.500000,1.000000
