ShaharID, group, counterbalance, block_type, block, delay_condition, trial, chosen, unchosen, offer_left_image, offer_right_image, exp_value_chosen, exp_value_unchosen, choice_location, choice_key, exp_value1, exp_value2, exp_value3, exp_value4, RT, reward, coins_per_block, coins_per_task,ITI_duration,rt_deadline,choice_feedback_duration,outcome_duration
4wf4NRy2,100,1, practice, 1, 1, 1, 2, 3, 2, 3, 0.45, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 1.1537092000071425, 0, 0.000000,0.000000,1.000000,6.000000,0.500000,1.000000
4wf4NRy2,100,1, practice, 1, 1, 2, 4, 1, 1, 4, 0.65, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 1.0355271000007633, 1, 1.000000,1.000000,1.000000,6.000000,0.500000,1.000000
4wf4NRy2,100,1, practice, 1, 1, 3, 1, 3, 3, 1, 0.35, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 0.8858225000003586, 1, 2.000000,2.000000,1.000000,6.000000,0.500000,1.000000
4wf4NRy2,100,1, practice, 1, 1, 4, 1, 3, 1, 3, 0.35, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 0.5070651000132784, 1, 3.000000,3.000000,1.000000,6.000000,0.500000,1.000000
4wf4NRy2,100,1, practice, 1, 1, 5, 4, 1, 1, 4, 0.65, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 0.6548388000082923, 0, 3.000000,3.000000,1.000000,6.000000,0.500000,1.000000
4wf4NRy2,100,1, test, 1, 7, 1, 3, 2, 3, 2, 0.55, 0.45, left, 1, 0.35, 0.45, 0.55, 0.65, 0.6608024000015575, 0, 0.000000,3.000000,1.000000,6.000000,0.500000,1.000000
4wf4NRy2,100,1, test, 1, 7, 2, 1, 2, 2, 1, 0.35, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 0.8537223999883281, 0, 0.000000,3.000000,1.000000,6.000000,0.500000,1.000000
4wf4NRy2,100,1, test, 1, 7, 3, 4, 3, 3, 4, 0.65, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 0.6767610000097193, 1, 1.000000,4.000000,1.000000,6.000000,0.500000,1.000000
4wf4NRy2,100,1, test, 1, 7, 4, 1, 3, 1, 3, 0.35, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 1.0427429000119446, 1, 2.000000,5.000000,1.000000,6.000000,0.500000,1.000000
4wf4NRy2,100,1, test, 1, 7, 5, 2, 4, 4, 2, 0.45, 0.65, right, 2, 0.35, 0.45, 0.55, 0.65, 0.6420456000050763, 0, 2.000000,5.000000,1.000000,6.000000,0.500000,1.000000
4wf4NRy2,100,1, test, 1, 7, 6, 4, 2, 2, 4, 0.65, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 0.7967745999922045, 1, 3.000000,6.000000,1.000000,6.000000,0.500000,1.000000
4wf4NRy2,100,1, test, 1, 7, 7, 4, 2, 4, 2, 0.65, 0.45, left, 1, 0.35, 0.45, 0.55, 0.65, 0.632401499999105, 1, 4.000000,7.000000,1.000000,6.000000,0.500000,1.000000
4wf4NRy2,100,1, test, 1, 7, 8, 4, 3, 3, 4, 0.65, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 1.2313318999949843, 1, 5.000000,8.000000,1.000000,6.000000,0.500000,1.000000
4wf4NRy2,100,1, test, 1, 7, 9, 3, 2, 3, 2, 0.55, 0.45, left, 1, 0.35, 0.45, 0.55, 0.65, 1.6579534000047715, 1, 6.000000,9.000000,1.000000,6.000000,0.500000,1.000000
4wf4NRy2,100,1, test, 1, 7, 10, 3, 1, 3, 1, 0.55, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 0.8752066000015475, 1, 7.000000,10.000000,1.000000,6.000000,0.500000,1.000000
4wf4NRy2,100,1, test, 1, 7, 11, 3, 2, 2, 3, 0.55, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 0.5311952000047313, 1, 8.000000,11.000000,1.000000,6.000000,0.500000,1.000000
4wf4NRy2,100,1, test, 1, 7, 12, 4, 1, 1, 4, 0.65, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 0.8394014000077732, 0, 8.000000,11.000000,1.000000,6.000000,0.500000,1.000000
4wf4NRy2,100,1, test, 1, 7, 13, 2, 4, 2, 4, 0.45, 0.65, left, 1, 0.35, 0.45, 0.55, 0.65, 0.42904980000457726, 1, 9.000000,12.000000,1.000000,6.000000,0.500000,1.000000
4wf4NRy2,100,1, test, 1, 7, 14, 1, 4, 1, 4, 0.35, 0.65, left, 1, 0.35, 0.45, 0.55, 0.65, 2.1290814000094542, 0, 9.000000,12.000000,1.000000,6.000000,0.500000,1.000000
4wf4NRy2,100,1, test, 1, 7, 15, 1, 2, 2, 1, 0.35, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 1.136518300001626, 0, 9.000000,12.000000,1.000000,6.000000,0.500000,1.000000
4wf4NRy2,100,1, test, 1, 7, 16, 3, 1, 3, 1, 0.55, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 0.49568720000388566, 0, 9.000000,12.000000,1.000000,6.000000,0.500000,1.000000
4wf4NRy2,100,1, test, 1, 7, 17, 4, 2, 2, 4, 0.65, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 0.7409179000096628, 1, 10.000000,13.000000,1.000000,6.000000,0.500000,1.000000
4wf4NRy2,100,1, test, 1, 7, 18, 4, 1, 4, 1, 0.65, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 0.7997376000130316, 0, 10.000000,13.000000,1.000000,6.000000,0.500000,1.000000
4wf4NRy2,100,1, test, 1, 7, 19, 3, 2, 2, 3, 0.55, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 1.0556734999991022, 0, 10.000000,13.000000,1.000000,6.000000,0.500000,1.000000
4wf4NRy2,100,1, test, 1, 7, 20, 2, 1, 1, 2, 0.45, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 0.4101392000011401, 0, 10.000000,13.000000,1.000000,6.000000,0.500000,1.000000
4wf4NRy2,100,1, test, 1, 7, 21, 1, 3, 1, 3, 0.35, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 1.430906200010213, 0, 10.000000,13.000000,1.000000,6.000000,0.500000,1.000000
4wf4NRy2,100,1, test, 1, 7, 22, 4, 1, 4, 1, 0.65, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 0.8895523999963189, 1, 11.000000,14.000000,1.000000,6.000000,0.500000,1.000000
4wf4NRy2,100,1, test, 1, 7, 23, 3, 1, 1, 3, 0.55, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 1.9348655999929179, 1, 12.000000,15.000000,1.000000,6.000000,0.500000,1.000000
4wf4NRy2,100,1, test, 1, 7, 24, 2, 1, 1, 2, 0.45, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 1.418159699998796, 0, 12.000000,15.000000,1.000000,6.000000,0.500000,1.000000
4wf4NRy2,100,1, test, 1, 7, 25, 1, 3, 1, 3, 0.35, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 1.0173606000025757, 1, 13.000000,16.000000,1.000000,6.000000,0.500000,1.000000
4wf4NRy2,100,1, test, 2, 1, 1, 4, 1, 1, 4, 0.65, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 0.6985893000091892, 0, 0.000000,16.000000,1.000000,6.000000,0.500000,1.000000
4wf4NRy2,100,1, test, 2, 1, 2, 1, 4, 4, 1, 0.35, 0.65, right, 2, 0.35, 0.45, 0.55, 0.65, 1.5387092000019038, 1, 1.000000,17.000000,1.000000,6.000000,0.500000,1.000000
4wf4NRy2,100,1, test, 2, 1, 3, 1, 4, 1, 4, 0.35, 0.65, left, 1, 0.35, 0.45, 0.55, 0.65, 0.5708482000045478, 1, 2.000000,18.000000,1.000000,6.000000,0.500000,1.000000
