ShaharID, group, counterbalance, block_type, block, delay_condition, trial, chosen, unchosen, offer_left_image, offer_right_image, exp_value_chosen, exp_value_unchosen, choice_location, choice_key, exp_value1, exp_value2, exp_value3, exp_value4, RT, reward, coins_per_block, coins_per_task,ITI_duration,rt_deadline,choice_feedback_duration,outcome_duration
9n7LZpob,100,1, practice, 1, 1, 1, 1, 2, 1, 2, 0.35, 0.45, left, 1, 0.35, 0.45, 0.55, 0.65, 0.63472269999329, 0, 0.000000,0.000000,1.000000,6.000000,0.500000,1.000000
9n7LZpob,100,1, practice, 1, 1, 2, 2, 3, 3, 2, 0.45, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 0.541441900015343, 0, 0.000000,0.000000,1.000000,6.000000,0.500000,1.000000
9n7LZpob,100,1, practice, 1, 1, 3, 4, 2, 4, 2, 0.65, 0.45, left, 1, 0.35, 0.45, 0.55, 0.65, 0.8920657999697141, 1, 1.000000,1.000000,1.000000,6.000000,0.500000,1.000000
9n7LZpob,100,1, practice, 1, 1, 4, 4, 3, 4, 3, 0.65, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 0.4636653999914415, 0, 1.000000,1.000000,1.000000,6.000000,0.500000,1.000000
9n7LZpob,100,1, practice, 1, 1, 5, 2, 4, 2, 4, 0.45, 0.65, left, 1, 0.35, 0.45, 0.55, 0.65, 1.046005200012587, 0, 1.000000,1.000000,1.000000,6.000000,0.500000,1.000000
9n7LZpob,100,1, test, 1, 7, 1, 2, 4, 4, 2, 0.45, 0.65, right, 2, 0.35, 0.45, 0.55, 0.65, 0.5465151999960653, 0, 0.000000,1.000000,1.000000,6.000000,0.500000,1.000000
9n7LZpob,100,1, test, 1, 7, 2, 4, 2, 4, 2, 0.65, 0.45, left, 1, 0.35, 0.45, 0.55, 0.65, 0.8649551999988034, 1, 1.000000,2.000000,1.000000,6.000000,0.500000,1.000000
9n7LZpob,100,1, test, 1, 7, 3, 1, 3, 3, 1, 0.35, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 0.8089669999899343, 1, 2.000000,3.000000,1.000000,6.000000,0.500000,1.000000
9n7LZpob,100,1, test, 1, 7, 4, 1, 3, 1, 3, 0.35, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 0.8414318999857642, 0, 2.000000,3.000000,1.000000,6.000000,0.500000,1.000000
9n7LZpob,100,1, test, 1, 7, 5, 3, 2, 3, 2, 0.55, 0.45, left, 1, 0.35, 0.45, 0.55, 0.65, 0.8393283999757841, 0, 2.000000,3.000000,1.000000,6.000000,0.500000,1.000000
9n7LZpob,100,1, test, 1, 7, 6, 4, 3, 4, 3, 0.65, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 0.6539740999578498, 1, 3.000000,4.000000,1.000000,6.000000,0.500000,1.000000
9n7LZpob,100,1, test, 1, 7, 7, 4, 2, 2, 4, 0.65, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 0.7083022000151686, 0, 3.000000,4.000000,1.000000,6.000000,0.500000,1.000000
9n7LZpob,100,1, test, 1, 7, 8, 1, 3, 3, 1, 0.35, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 1.5308759000035934, 1, 4.000000,5.000000,1.000000,6.000000,0.500000,1.000000
9n7LZpob,100,1, test, 1, 7, 9, 1, 2, 2, 1, 0.35, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 1.3779355000006035, 0, 4.000000,5.000000,1.000000,6.000000,0.500000,1.000000
9n7LZpob,100,1, test, 1, 7, 10, 4, 1, 4, 1, 0.65, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 0.9019131999812089, 0, 4.000000,5.000000,1.000000,6.000000,0.500000,1.000000
9n7LZpob,100,1, test, 1, 7, 11, 4, 1, 4, 1, 0.65, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 0.7795011000125669, 0, 4.000000,5.000000,1.000000,6.000000,0.500000,1.000000
9n7LZpob,100,1, test, 1, 7, 12, 4, 1, 1, 4, 0.65, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 0.6561855999752879, 1, 5.000000,6.000000,1.000000,6.000000,0.500000,1.000000
9n7LZpob,100,1, test, 1, 7, 13, 1, 3, 3, 1, 0.35, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 1.1576929000439122, 1, 6.000000,7.000000,1.000000,6.000000,0.500000,1.000000
9n7LZpob,100,1, test, 1, 7, 14, 3, 2, 2, 3, 0.55, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 2.283699100022204, 0, 6.000000,7.000000,1.000000,6.000000,0.500000,1.000000
9n7LZpob,100,1, test, 1, 7, 15, 4, 1, 4, 1, 0.65, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 0.9279917000094429, 1, 7.000000,8.000000,1.000000,6.000000,0.500000,1.000000
9n7LZpob,100,1, test, 1, 7, 16, 1, 3, 3, 1, 0.35, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 0.7350112000131048, 0, 7.000000,8.000000,1.000000,6.000000,0.500000,1.000000
9n7LZpob,100,1, test, 1, 7, 17, 1, 3, 3, 1, 0.35, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 0.788692899979651, 1, 8.000000,9.000000,1.000000,6.000000,0.500000,1.000000
9n7LZpob,100,1, test, 1, 7, 18, 1, 3, 1, 3, 0.35, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 0.5903484000009485, 0, 8.000000,9.000000,1.000000,6.000000,0.500000,1.000000
9n7LZpob,100,1, test, 1, 7, 19, 1, 3, 3, 1, 0.35, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 1.5420866999775171, 1, 9.000000,10.000000,1.000000,6.000000,0.500000,1.000000
9n7LZpob,100,1, test, 1, 7, 20, 1, 2, 1, 2, 0.35, 0.45, left, 1, 0.35, 0.45, 0.55, 0.65, 0.9766059999819845, 0, 9.000000,10.000000,1.000000,6.000000,0.500000,1.000000
9n7LZpob,100,1, test, 1, 7, 21, 3, 2, 2, 3, 0.55, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 2.0243545999983326, 1, 10.000000,11.000000,1.000000,6.000000,0.500000,1.000000
9n7LZpob,100,1, test, 1, 7, 22, 4, 1, 4, 1, 0.65, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 1.073577600007411, 1, 11.000000,12.000000,1.000000,6.000000,0.500000,1.000000
9n7LZpob,100,1, test, 1, 7, 23, 1, 2, 2, 1, 0.35, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 1.1740249000140466, 0, 11.000000,12.000000,1.000000,6.000000,0.500000,1.000000
9n7LZpob,100,1, test, 1, 7, 24, 1, 3, 3, 1, 0.35, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 0.9432120000128634, 0, 11.000000,12.000000,1.000000,6.000000,0.500000,1.000000
9n7LZpob,100,1, test, 1, 7, 25, 4, 2, 2, 4, 0.65, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 1.1687672000261955, 0, 11.000000,12.000000,1.000000,6.000000,0.500000,1.000000
9n7LZpob,100,1, test, 2, 1, 1, 2, 4, 2, 4, 0.45, 0.65, left, 1, 0.35, 0.45, 0.55, 0.65, 2.206815999990795, 1, 1.000000,13.000000,1.000000,6.000000,0.500000,1.000000
9n7LZpob,100,1, test, 2, 1, 2, 3, 1, 1, 3, 0.55, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 1.122005499957595, 0, 1.000000,13.000000,1.000000,6.000000,0.500000,1.000000
9n7LZpob,100,1, test, 2, 1, 3, 1, 3, 3, 1, 0.35, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 0.9981006999732926, 0, 1.000000,13.000000,1.000000,6.000000,0.500000,1.000000
9n7LZpob,100,1, test, 2, 1, 4, 3, 1, 1, 3, 0.55, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 0.8551443999749608, 0, 1.000000,13.000000,1.000000,6.000000,0.500000,1.000000
9n7LZpob,100,1, test, 2, 1, 5, 2, 4, 4, 2, 0.45, 0.65, right, 2, 0.35, 0.45, 0.55, 0.65, 0.6821070000296459, 0, 1.000000,13.000000,1.000000,6.000000,0.500000,1.000000
9n7LZpob,100,1, test, 2, 1, 6, 2, 3, 2, 3, 0.45, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 1.6235149999847636, 0, 1.000000,13.000000,1.000000,6.000000,0.500000,1.000000
9n7LZpob,100,1, test, 2, 1, 7, 3, 2, 2, 3, 0.55, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 0.7110762999509461, 0, 1.000000,13.000000,1.000000,6.000000,0.500000,1.000000
9n7LZpob,100,1, test, 2, 1, 8, 4, 1, 4, 1, 0.65, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 1.7347820000140928, 0, 1.000000,13.000000,1.000000,6.000000,0.500000,1.000000
9n7LZpob,100,1, test, 2, 1, 9, 4, 3, 3, 4, 0.65, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 1.5695725999539718, 1, 2.000000,14.000000,1.000000,6.000000,0.500000,1.000000
9n7LZpob,100,1, test, 2, 1, 10, 2, 3, 2, 3, 0.45, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 0.47991120000369847, 1, 3.000000,15.000000,1.000000,6.000000,0.500000,1.000000
9n7LZpob,100,1, test, 2, 1, 11, 2, 3, 3, 2, 0.45, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 0.7339594000368379, 0, 3.000000,15.000000,1.000000,6.000000,0.500000,1.000000
9n7LZpob,100,1, test, 2, 1, 12, 2, 3, 2, 3, 0.45, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 0.8362646999885328, 1, 4.000000,16.000000,1.000000,6.000000,0.500000,1.000000
9n7LZpob,100,1, test, 2, 1, 13, 2, 1, 2, 1, 0.45, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 0.717427299998235, 0, 4.000000,16.000000,1.000000,6.000000,0.500000,1.000000
9n7LZpob,100,1, test, 2, 1, 14, 2, 3, 2, 3, 0.45, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 0.7335146000259556, 1, 5.000000,17.000000,1.000000,6.000000,0.500000,1.000000
9n7LZpob,100,1, test, 2, 1, 15, 2, 1, 2, 1, 0.45, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 0.5263881999999285, 1, 6.000000,18.000000,1.000000,6.000000,0.500000,1.000000
9n7LZpob,100,1, test, 2, 1, 16, 1, 3, 1, 3, 0.35, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 1.3736246000044048, 1, 7.000000,19.000000,1.000000,6.000000,0.500000,1.000000
9n7LZpob,100,1, test, 2, 1, 17, 4, 1, 4, 1, 0.65, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 1.2103772000409663, 1, 8.000000,20.000000,1.000000,6.000000,0.500000,1.000000
9n7LZpob,100,1, test, 2, 1, 18, 2, 1, 1, 2, 0.45, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 0.7351509000291117, 1, 9.000000,21.000000,1.000000,6.000000,0.500000,1.000000
9n7LZpob,100,1, test, 2, 1, 19, 4, 3, 4, 3, 0.65, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 1.714184499986004, 1, 10.000000,22.000000,1.000000,6.000000,0.500000,1.000000
9n7LZpob,100,1, test, 2, 1, 20, 2, 4, 4, 2, 0.45, 0.65, right, 2, 0.35, 0.45, 0.55, 0.65, 0.726909099961631, 0, 10.000000,22.000000,1.000000,6.000000,0.500000,1.000000
9n7LZpob,100,1, test, 2, 1, 21, 4, 3, 4, 3, 0.65, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 1.1862713000155054, 1, 11.000000,23.000000,1.000000,6.000000,0.500000,1.000000
9n7LZpob,100,1, test, 2, 1, 22, 4, 1, 4, 1, 0.65, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 0.7502801000373438, 1, 12.000000,24.000000,1.000000,6.000000,0.500000,1.000000
9n7LZpob,100,1, test, 2, 1, 23, 2, 3, 2, 3, 0.45, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 0.9898420000099577, 1, 13.000000,25.000000,1.000000,6.000000,0.500000,1.000000
9n7LZpob,100,1, test, 2, 1, 24, 2, 3, 3, 2, 0.45, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 0.765811900026165, 1, 14.000000,26.000000,1.000000,6.000000,0.500000,1.000000
9n7LZpob,100,1, test, 2, 1, 25, 2, 4, 4, 2, 0.45, 0.65, right, 2, 0.35, 0.45, 0.55, 0.65, 0.49216300004627556, 1, 15.000000,27.000000,1.000000,6.000000,0.500000,1.000000
9n7LZpob,100,1, test, 3, 7, 1, 3, 2, 3, 2, 0.55, 0.45, left, 1, 0.35, 0.45, 0.55, 0.65, 0.48325990000739694, 0, 0.000000,27.000000,1.000000,6.000000,0.500000,1.000000
9n7LZpob,100,1, test, 3, 7, 2, 2, 3, 3, 2, 0.45, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 0.8249389000120573, 0, 0.000000,27.000000,1.000000,6.000000,0.500000,1.000000
9n7LZpob,100,1, test, 3, 7, 3, 3, 2, 3, 2, 0.55, 0.45, left, 1, 0.35, 0.45, 0.55, 0.65, 0.5267316999961622, 1, 1.000000,28.000000,1.000000,6.000000,0.500000,1.000000
9n7LZpob,100,1, test, 3, 7, 4, 3, 1, 3, 1, 0.55, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 0.9182918999576941, 0, 1.000000,28.000000,1.000000,6.000000,0.500000,1.000000
9n7LZpob,100,1, test, 3, 7, 5, 1, 2, 1, 2, 0.35, 0.45, left, 1, 0.35, 0.45, 0.55, 0.65, 1.5219018000061624, 0, 1.000000,28.000000,1.000000,6.000000,0.500000,1.000000
