ShaharID, group, counterbalance, block_type, block, delay_condition, trial, chosen, unchosen, offer_left_image, offer_right_image, exp_value_chosen, exp_value_unchosen, choice_location, choice_key, exp_value1, exp_value2, exp_value3, exp_value4, RT, reward, coins_per_block, coins_per_task,ITI_duration,rt_deadline,choice_feedback_duration,outcome_duration
HWuMtzFM,200,0, practice, 1, 1, 1, 3, 2, 2, 3, 0.55, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 1.7834306000731885, 1, 1.000000,1.000000,1.000000,6.000000,0.500000,1.000000
HWuMtzFM,200,0, practice, 1, 1, 2, 3, 2, 2, 3, 0.55, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 0.6979924000333995, 0, 1.000000,1.000000,1.000000,6.000000,0.500000,1.000000
HWuMtzFM,200,0, practice, 1, 1, 3, 2, 4, 2, 4, 0.45, 0.65, left, 1, 0.35, 0.45, 0.55, 0.65, 2.4986677998676896, 0, 1.000000,1.000000,1.000000,6.000000,0.500000,1.000000
HWuMtzFM,200,0, practice, 1, 1, 4, 1, 3, 1, 3, 0.35, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 2.827225500019267, 0, 1.000000,1.000000,1.000000,6.000000,0.500000,1.000000
HWuMtzFM,200,0, practice, 1, 1, 5, 1, 4, 4, 1, 0.35, 0.65, right, 2, 0.35, 0.45, 0.55, 0.65, 3.902868299977854, 1, 2.000000,2.000000,1.000000,6.000000,0.500000,1.000000
HWuMtzFM,200,0, test, 1, 1, 1, 3, 1, 1, 3, 0.55, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 0.26643819990567863, 0, 0.000000,2.000000,1.000000,6.000000,0.500000,1.000000
HWuMtzFM,200,0, test, 1, 1, 2, 2, 1, 2, 1, 0.45, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 0.6576608000323176, 0, 0.000000,2.000000,1.000000,6.000000,0.500000,1.000000
HWuMtzFM,200,0, test, 1, 1, 3, 4, 2, 4, 2, 0.65, 0.45, left, 1, 0.35, 0.45, 0.55, 0.65, 0.8323311000131071, 0, 0.000000,2.000000,1.000000,6.000000,0.500000,1.000000
HWuMtzFM,200,0, test, 1, 1, 4, 2, 3, 3, 2, 0.45, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 1.3638101001270115, 1, 1.000000,3.000000,1.000000,6.000000,0.500000,1.000000
HWuMtzFM,200,0, test, 1, 1, 5, 2, 3, 3, 2, 0.45, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 0.44883130001835525, 0, 1.000000,3.000000,1.000000,6.000000,0.500000,1.000000
