ShaharID, group, counterbalance, block_type, block, delay_condition, trial, chosen, unchosen, offer_left_image, offer_right_image, exp_value_chosen, exp_value_unchosen, choice_location, choice_key, exp_value1, exp_value2, exp_value3, exp_value4, RT, reward, coins_per_block, coins_per_task,ITI_duration,rt_deadline,choice_feedback_duration,outcome_duration
Oo4L9fdl,100,1, practice, 1, 1, 1, 1, 4, 1, 4, 0.35, 0.65, left, 1, 0.35, 0.45, 0.55, 0.65, 1.6488222999905702, 1, 1.000000,1.000000,1.000000,6.000000,0.500000,1.000000
Oo4L9fdl,100,1, practice, 1, 1, 2, 1, 4, 4, 1, 0.35, 0.65, right, 2, 0.35, 0.45, 0.55, 0.65, 0.8186671000003116, 0, 1.000000,1.000000,1.000000,6.000000,0.500000,1.000000
Oo4L9fdl,100,1, practice, 1, 1, 3, 2, 1, 2, 1, 0.45, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 1.0374904000054812, 1, 2.000000,2.000000,1.000000,6.000000,0.500000,1.000000
Oo4L9fdl,100,1, practice, 1, 1, 4, 2, 4, 2, 4, 0.45, 0.65, left, 1, 0.35, 0.45, 0.55, 0.65, 0.8246095000067726, 0, 2.000000,2.000000,1.000000,6.000000,0.500000,1.000000
Oo4L9fdl,100,1, practice, 1, 1, 5, 3, 4, 3, 4, 0.55, 0.65, left, 1, 0.35, 0.45, 0.55, 0.65, 1.1997508000058588, 1, 3.000000,3.000000,1.000000,6.000000,0.500000,1.000000
Oo4L9fdl,100,1, test, 1, 7, 1, 2, 4, 2, 4, 0.45, 0.65, left, 1, 0.35, 0.45, 0.55, 0.65, 1.070521200002986, 1, 1.000000,4.000000,1.000000,6.000000,0.500000,1.000000
Oo4L9fdl,100,1, test, 1, 7, 2, 3, 2, 2, 3, 0.55, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 1.2268505999963963, 1, 2.000000,5.000000,1.000000,6.000000,0.500000,1.000000
Oo4L9fdl,100,1, test, 1, 7, 3, 1, 4, 4, 1, 0.35, 0.65, right, 2, 0.35, 0.45, 0.55, 0.65, 1.6351273999898694, 0, 2.000000,5.000000,1.000000,6.000000,0.500000,1.000000
Oo4L9fdl,100,1, test, 1, 7, 4, 3, 1, 1, 3, 0.55, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 1.6091473999986192, 1, 3.000000,6.000000,1.000000,6.000000,0.500000,1.000000
Oo4L9fdl,100,1, test, 1, 7, 5, 3, 4, 3, 4, 0.55, 0.65, left, 1, 0.35, 0.45, 0.55, 0.65, 2.6618097000027774, 0, 3.000000,6.000000,1.000000,6.000000,0.500000,1.000000
