ShaharID, group, counterbalance, block_type, block, delay_condition, trial, chosen, unchosen, offer_left_image, offer_right_image, exp_value_chosen, exp_value_unchosen, choice_location, choice_key, exp_value1, exp_value2, exp_value3, exp_value4, RT, reward, coins_per_block, coins_per_task,ITI_duration,rt_deadline,choice_feedback_duration,outcome_duration
VGVJHGp4,100,1, practice, 1, 1, 1, 4, 2, 2, 4, 0.65, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 4.859256299911067, 1, 1.000000,1.000000,1.000000,6.000000,0.500000,1.000000
VGVJHGp4,100,1, practice, 1, 1, 2, 4, 2, 4, 2, 0.65, 0.45, left, 1, 0.35, 0.45, 0.55, 0.65, 0.9092999999411404, 1, 2.000000,2.000000,1.000000,6.000000,0.500000,1.000000
VGVJHGp4,100,1, practice, 1, 1, 3, 1, 3, 3, 1, 0.35, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 1.373311399947852, 1, 3.000000,3.000000,1.000000,6.000000,0.500000,1.000000
VGVJHGp4,100,1, practice, 1, 1, 4, 4, 3, 3, 4, 0.65, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 1.3075453999917954, 1, 4.000000,4.000000,1.000000,6.000000,0.500000,1.000000
VGVJHGp4,100,1, practice, 1, 1, 5, 1, 4, 4, 1, 0.35, 0.65, right, 2, 0.35, 0.45, 0.55, 0.65, 0.9358445999678224, 0, 4.000000,4.000000,1.000000,6.000000,0.500000,1.000000
VGVJHGp4,100,1, test, 1, 7, 1, 2, 1, 2, 1, 0.45, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 0.6772537999786437, 0, 0.000000,4.000000,1.000000,6.000000,0.500000,1.000000
VGVJHGp4,100,1, test, 1, 7, 2, 3, 4, 4, 3, 0.55, 0.65, right, 2, 0.35, 0.45, 0.55, 0.65, 0.9395536999218166, 1, 1.000000,5.000000,1.000000,6.000000,0.500000,1.000000
VGVJHGp4,100,1, test, 1, 7, 3, 1, 4, 4, 1, 0.35, 0.65, right, 2, 0.35, 0.45, 0.55, 0.65, 1.310103900032118, 1, 2.000000,6.000000,1.000000,6.000000,0.500000,1.000000
VGVJHGp4,100,1, test, 1, 7, 4, 3, 4, 4, 3, 0.55, 0.65, right, 2, 0.35, 0.45, 0.55, 0.65, 1.3023447000887245, 1, 3.000000,7.000000,1.000000,6.000000,0.500000,1.000000
VGVJHGp4,100,1, test, 1, 7, 5, 3, 1, 3, 1, 0.55, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 1.417828899808228, 0, 3.000000,7.000000,1.000000,6.000000,0.500000,1.000000
VGVJHGp4,100,1, test, 1, 7, 6, 1, 2, 2, 1, 0.35, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 1.0140395001508296, 0, 3.000000,7.000000,1.000000,6.000000,0.500000,1.000000
VGVJHGp4,100,1, test, 1, 7, 7, 1, 4, 4, 1, 0.35, 0.65, right, 2, 0.35, 0.45, 0.55, 0.65, 2.569879800081253, 0, 3.000000,7.000000,1.000000,6.000000,0.500000,1.000000
VGVJHGp4,100,1, test, 1, 7, 8, 3, 4, 3, 4, 0.55, 0.65, left, 1, 0.35, 0.45, 0.55, 0.65, 1.4479180998168886, 1, 4.000000,8.000000,1.000000,6.000000,0.500000,1.000000
VGVJHGp4,100,1, test, 1, 7, 9, 2, 1, 1, 2, 0.45, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 1.3905887000728399, 1, 5.000000,9.000000,1.000000,6.000000,0.500000,1.000000
VGVJHGp4,100,1, test, 1, 7, 10, 2, 3, 3, 2, 0.45, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 2.179861699929461, 0, 5.000000,9.000000,1.000000,6.000000,0.500000,1.000000
VGVJHGp4,100,1, test, 1, 7, 11, 2, 1, 2, 1, 0.45, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 1.1927330000326037, 0, 5.000000,9.000000,1.000000,6.000000,0.500000,1.000000
