ShaharID, group, counterbalance, block_type, block, delay_condition, trial, chosen, unchosen, offer_left_image, offer_right_image, exp_value_chosen, exp_value_unchosen, choice_location, choice_key, exp_value1, exp_value2, exp_value3, exp_value4, RT, reward, coins_per_block, coins_per_task,ITI_duration,rt_deadline,choice_feedback_duration,outcome_duration
VPzDdj72,200,0, practice, 1, 1, 1, 4, 1, 1, 4, 0.65, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 1.6616547000594437, 0, 0.000000,0.000000,1.000000,6.000000,0.500000,1.000000
VPzDdj72,200,0, practice, 1, 1, 2, 2, 4, 4, 2, 0.45, 0.65, right, 2, 0.35, 0.45, 0.55, 0.65, 0.7251560003496706, 1, 1.000000,1.000000,1.000000,6.000000,0.500000,1.000000
VPzDdj72,200,0, practice, 1, 1, 3, 4, 2, 4, 2, 0.65, 0.45, left, 1, 0.35, 0.45, 0.55, 0.65, 0.9951709001325071, 1, 2.000000,2.000000,1.000000,6.000000,0.500000,1.000000
VPzDdj72,200,0, practice, 1, 1, 4, 3, 1, 3, 1, 0.55, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 1.0925684999674559, 0, 2.000000,2.000000,1.000000,6.000000,0.500000,1.000000
VPzDdj72,200,0, practice, 1, 1, 5, 4, 1, 1, 4, 0.65, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 1.7728133997879922, 1, 3.000000,3.000000,1.000000,6.000000,0.500000,1.000000
VPzDdj72,200,0, test, 1, 1, 1, 4, 3, 4, 3, 0.65, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 0.588570199906826, 1, 1.000000,4.000000,1.000000,6.000000,0.500000,1.000000
VPzDdj72,200,0, test, 1, 1, 2, 2, 3, 2, 3, 0.45, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 1.0985329002141953, 0, 1.000000,4.000000,1.000000,6.000000,0.500000,1.000000
VPzDdj72,200,0, test, 1, 1, 3, 3, 1, 3, 1, 0.55, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 1.1344864000566304, 1, 2.000000,5.000000,1.000000,6.000000,0.500000,1.000000
VPzDdj72,200,0, test, 1, 1, 4, 1, 2, 1, 2, 0.35, 0.45, left, 1, 0.35, 0.45, 0.55, 0.65, 0.9777533002197742, 1, 3.000000,6.000000,1.000000,6.000000,0.500000,1.000000
VPzDdj72,200,0, test, 1, 1, 5, 3, 4, 4, 3, 0.55, 0.65, right, 2, 0.35, 0.45, 0.55, 0.65, 0.9888102002441883, 0, 3.000000,6.000000,1.000000,6.000000,0.500000,1.000000
VPzDdj72,200,0, test, 1, 1, 6, 1, 3, 3, 1, 0.35, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 0.9891325002536178, 0, 3.000000,6.000000,1.000000,6.000000,0.500000,1.000000
VPzDdj72,200,0, test, 1, 1, 7, 2, 1, 2, 1, 0.45, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 0.8674095999449492, 0, 3.000000,6.000000,1.000000,6.000000,0.500000,1.000000
VPzDdj72,200,0, test, 1, 1, 8, 3, 2, 2, 3, 0.55, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 0.9210478998720646, 0, 3.000000,6.000000,1.000000,6.000000,0.500000,1.000000
VPzDdj72,200,0, test, 1, 1, 9, 1, 2, 2, 1, 0.35, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 0.8571359999477863, 0, 3.000000,6.000000,1.000000,6.000000,0.500000,1.000000
VPzDdj72,200,0, test, 1, 1, 10, 4, 2, 4, 2, 0.65, 0.45, left, 1, 0.35, 0.45, 0.55, 0.65, 1.750763500109315, 1, 4.000000,7.000000,1.000000,6.000000,0.500000,1.000000
VPzDdj72,200,0, test, 1, 1, 11, 3, 1, 1, 3, 0.55, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 1.092048500198871, 0, 4.000000,7.000000,1.000000,6.000000,0.500000,1.000000
VPzDdj72,200,0, test, 1, 1, 12, 2, 3, 2, 3, 0.45, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 1.8765807999297976, 1, 5.000000,8.000000,1.000000,6.000000,0.500000,1.000000
VPzDdj72,200,0, test, 1, 1, 13, 4, 1, 1, 4, 0.65, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 0.44985990040004253, 1, 6.000000,9.000000,1.000000,6.000000,0.500000,1.000000
VPzDdj72,200,0, test, 1, 1, 14, 4, 2, 2, 4, 0.65, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 0.5325802997685969, 1, 7.000000,10.000000,1.000000,6.000000,0.500000,1.000000
VPzDdj72,200,0, test, 1, 1, 15, 2, 3, 3, 2, 0.45, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 0.6128018000163138, 1, 8.000000,11.000000,1.000000,6.000000,0.500000,1.000000
VPzDdj72,200,0, test, 1, 1, 16, 4, 1, 1, 4, 0.65, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 0.4041570997796953, 1, 9.000000,12.000000,1.000000,6.000000,0.500000,1.000000
VPzDdj72,200,0, test, 1, 1, 17, 4, 1, 1, 4, 0.65, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 0.3994261003099382, 0, 9.000000,12.000000,1.000000,6.000000,0.500000,1.000000
VPzDdj72,200,0, test, 1, 1, 18, 2, 1, 2, 1, 0.45, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 1.1215601996518672, 1, 10.000000,13.000000,1.000000,6.000000,0.500000,1.000000
VPzDdj72,200,0, test, 1, 1, 19, 2, 4, 4, 2, 0.45, 0.65, right, 2, 0.35, 0.45, 0.55, 0.65, 0.38449000008404255, 1, 11.000000,14.000000,1.000000,6.000000,0.500000,1.000000
VPzDdj72,200,0, test, 1, 1, 20, 2, 4, 4, 2, 0.45, 0.65, right, 2, 0.35, 0.45, 0.55, 0.65, 0.5058955000713468, 0, 11.000000,14.000000,1.000000,6.000000,0.500000,1.000000
VPzDdj72,200,0, test, 1, 1, 21, 1, 3, 3, 1, 0.35, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 0.9416192998178303, 0, 11.000000,14.000000,1.000000,6.000000,0.500000,1.000000
VPzDdj72,200,0, test, 1, 1, 22, 3, 1, 3, 1, 0.55, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 0.836378799751401, 0, 11.000000,14.000000,1.000000,6.000000,0.500000,1.000000
VPzDdj72,200,0, test, 1, 1, 23, 4, 3, 4, 3, 0.65, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 0.6350604998879135, 1, 12.000000,15.000000,1.000000,6.000000,0.500000,1.000000
VPzDdj72,200,0, test, 1, 1, 24, 4, 2, 4, 2, 0.65, 0.45, left, 1, 0.35, 0.45, 0.55, 0.65, 0.3823429001495242, 1, 13.000000,16.000000,1.000000,6.000000,0.500000,1.000000
VPzDdj72,200,0, test, 1, 1, 25, 3, 1, 3, 1, 0.55, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 0.9047114001587033, 1, 14.000000,17.000000,1.000000,6.000000,0.500000,1.000000
VPzDdj72,200,0, test, 2, 7, 1, 4, 3, 4, 3, 0.65, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 1.7071778001263738, 0, 0.000000,17.000000,1.000000,6.000000,0.500000,1.000000
VPzDdj72,200,0, test, 2, 7, 2, 2, 1, 2, 1, 0.45, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 0.8251662002876401, 1, 1.000000,18.000000,1.000000,6.000000,0.500000,1.000000
VPzDdj72,200,0, test, 2, 7, 3, 1, 4, 4, 1, 0.35, 0.65, right, 2, 0.35, 0.45, 0.55, 0.65, 0.8051500003784895, 1, 2.000000,19.000000,1.000000,6.000000,0.500000,1.000000
VPzDdj72,200,0, test, 2, 7, 4, 3, 2, 2, 3, 0.55, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 0.6595724998041987, 1, 3.000000,20.000000,1.000000,6.000000,0.500000,1.000000
VPzDdj72,200,0, test, 2, 7, 5, 2, 1, 1, 2, 0.45, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 0.404704200103879, 0, 3.000000,20.000000,1.000000,6.000000,0.500000,1.000000
VPzDdj72,200,0, test, 2, 7, 6, 1, 4, 1, 4, 0.35, 0.65, left, 1, 0.35, 0.45, 0.55, 0.65, 0.5575373000465333, 0, 3.000000,20.000000,1.000000,6.000000,0.500000,1.000000
VPzDdj72,200,0, test, 2, 7, 7, 3, 2, 3, 2, 0.55, 0.45, left, 1, 0.35, 0.45, 0.55, 0.65, 1.9828689000569284, 1, 4.000000,21.000000,1.000000,6.000000,0.500000,1.000000
VPzDdj72,200,0, test, 2, 7, 8, 3, 1, 1, 3, 0.55, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 0.5453576003201306, 1, 5.000000,22.000000,1.000000,6.000000,0.500000,1.000000
VPzDdj72,200,0, test, 2, 7, 9, 2, 4, 2, 4, 0.45, 0.65, left, 1, 0.35, 0.45, 0.55, 0.65, 1.2072383998893201, 0, 5.000000,22.000000,1.000000,6.000000,0.500000,1.000000
VPzDdj72,200,0, test, 2, 7, 10, 3, 4, 4, 3, 0.55, 0.65, right, 2, 0.35, 0.45, 0.55, 0.65, 1.6239734999835491, 1, 6.000000,23.000000,1.000000,6.000000,0.500000,1.000000
VPzDdj72,200,0, test, 2, 7, 11, 3, 2, 2, 3, 0.55, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 0.6158249997533858, 1, 7.000000,24.000000,1.000000,6.000000,0.500000,1.000000
VPzDdj72,200,0, test, 2, 7, 12, 2, 1, 1, 2, 0.45, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 1.2267124000936747, 1, 8.000000,25.000000,1.000000,6.000000,0.500000,1.000000
VPzDdj72,200,0, test, 2, 7, 13, 2, 1, 2, 1, 0.45, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 0.7859273003414273, 1, 9.000000,26.000000,1.000000,6.000000,0.500000,1.000000
VPzDdj72,200,0, test, 2, 7, 14, 4, 1, 1, 4, 0.65, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 1.2709543001838028, 0, 9.000000,26.000000,1.000000,6.000000,0.500000,1.000000
VPzDdj72,200,0, test, 2, 7, 15, 1, 4, 1, 4, 0.35, 0.65, left, 1, 0.35, 0.45, 0.55, 0.65, 0.891559099778533, 0, 9.000000,26.000000,1.000000,6.000000,0.500000,1.000000
VPzDdj72,200,0, test, 2, 7, 16, 2, 1, 2, 1, 0.45, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 0.623337599914521, 0, 9.000000,26.000000,1.000000,6.000000,0.500000,1.000000
VPzDdj72,200,0, test, 2, 7, 17, 1, 2, 2, 1, 0.35, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 2.6637524999678135, 0, 9.000000,26.000000,1.000000,6.000000,0.500000,1.000000
VPzDdj72,200,0, test, 2, 7, 18, 3, 4, 4, 3, 0.55, 0.65, right, 2, 0.35, 0.45, 0.55, 0.65, 0.9337150999344885, 0, 9.000000,26.000000,1.000000,6.000000,0.500000,1.000000
VPzDdj72,200,0, test, 2, 7, 19, 1, 3, 1, 3, 0.35, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 1.1329832999035716, 1, 10.000000,27.000000,1.000000,6.000000,0.500000,1.000000
VPzDdj72,200,0, test, 2, 7, 20, 2, 4, 4, 2, 0.45, 0.65, right, 2, 0.35, 0.45, 0.55, 0.65, 1.7400302002206445, 0, 10.000000,27.000000,1.000000,6.000000,0.500000,1.000000
VPzDdj72,200,0, test, 2, 7, 21, 4, 2, 4, 2, 0.65, 0.45, left, 1, 0.35, 0.45, 0.55, 0.65, 0.727346200030297, 0, 10.000000,27.000000,1.000000,6.000000,0.500000,1.000000
VPzDdj72,200,0, test, 2, 7, 22, 3, 4, 3, 4, 0.55, 0.65, left, 1, 0.35, 0.45, 0.55, 0.65, 1.9155231001786888, 0, 10.000000,27.000000,1.000000,6.000000,0.500000,1.000000
VPzDdj72,200,0, test, 2, 7, 23, 1, 4, 4, 1, 0.35, 0.65, right, 2, 0.35, 0.45, 0.55, 0.65, 0.9390810001641512, 1, 11.000000,28.000000,1.000000,6.000000,0.500000,1.000000
VPzDdj72,200,0, test, 2, 7, 24, 2, 4, 2, 4, 0.45, 0.65, left, 1, 0.35, 0.45, 0.55, 0.65, 2.069124300032854, 0, 11.000000,28.000000,1.000000,6.000000,0.500000,1.000000
VPzDdj72,200,0, test, 2, 7, 25, 1, 4, 4, 1, 0.35, 0.65, right, 2, 0.35, 0.45, 0.55, 0.65, 0.9430252998135984, 1, 12.000000,29.000000,1.000000,6.000000,0.500000,1.000000
VPzDdj72,200,0, test, 3, 1, 1, 3, 1, 3, 1, 0.55, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 0.6430323999375105, 1, 1.000000,30.000000,1.000000,6.000000,0.500000,1.000000
VPzDdj72,200,0, test, 3, 1, 2, 3, 4, 3, 4, 0.55, 0.65, left, 1, 0.35, 0.45, 0.55, 0.65, 0.447324899956584, 0, 1.000000,30.000000,1.000000,6.000000,0.500000,1.000000
VPzDdj72,200,0, test, 3, 1, 3, 2, 1, 1, 2, 0.45, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 0.42911560041829944, 0, 1.000000,30.000000,1.000000,6.000000,0.500000,1.000000
VPzDdj72,200,0, test, 3, 1, 4, 4, 1, 1, 4, 0.65, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 1.0880272001959383, 1, 2.000000,31.000000,1.000000,6.000000,0.500000,1.000000
VPzDdj72,200,0, test, 3, 1, 5, 3, 1, 3, 1, 0.55, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 1.7369776000268757, 1, 3.000000,32.000000,1.000000,6.000000,0.500000,1.000000
VPzDdj72,200,0, test, 3, 1, 6, 1, 2, 1, 2, 0.35, 0.45, left, 1, 0.35, 0.45, 0.55, 0.65, 1.0792938000522554, 1, 4.000000,33.000000,1.000000,6.000000,0.500000,1.000000
VPzDdj72,200,0, test, 3, 1, 7, 1, 3, 3, 1, 0.35, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 0.5999341998249292, 0, 4.000000,33.000000,1.000000,6.000000,0.500000,1.000000
VPzDdj72,200,0, test, 3, 1, 8, 4, 2, 4, 2, 0.65, 0.45, left, 1, 0.35, 0.45, 0.55, 0.65, 0.8250533998943865, 1, 5.000000,34.000000,1.000000,6.000000,0.500000,1.000000
VPzDdj72,200,0, test, 3, 1, 9, 3, 1, 3, 1, 0.55, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 2.115866200067103, 0, 5.000000,34.000000,1.000000,6.000000,0.500000,1.000000
VPzDdj72,200,0, test, 3, 1, 10, 1, 3, 1, 3, 0.35, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 1.435273400042206, 1, 6.000000,35.000000,1.000000,6.000000,0.500000,1.000000
VPzDdj72,200,0, test, 3, 1, 11, 1, 3, 3, 1, 0.35, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 0.3577990001067519, 0, 6.000000,35.000000,1.000000,6.000000,0.500000,1.000000
VPzDdj72,200,0, test, 3, 1, 12, 3, 2, 2, 3, 0.55, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 1.2279547997750342, 1, 7.000000,36.000000,1.000000,6.000000,0.500000,1.000000
VPzDdj72,200,0, test, 3, 1, 13, 4, 1, 1, 4, 0.65, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 1.7711756001226604, 0, 7.000000,36.000000,1.000000,6.000000,0.500000,1.000000
VPzDdj72,200,0, test, 3, 1, 14, 3, 2, 2, 3, 0.55, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 0.44637890020385385, 0, 7.000000,36.000000,1.000000,6.000000,0.500000,1.000000
VPzDdj72,200,0, test, 3, 1, 15, 2, 1, 1, 2, 0.45, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 1.1657970999367535, 0, 7.000000,36.000000,1.000000,6.000000,0.500000,1.000000
VPzDdj72,200,0, test, 3, 1, 16, 3, 2, 3, 2, 0.55, 0.45, left, 1, 0.35, 0.45, 0.55, 0.65, 1.1455437997356057, 1, 8.000000,37.000000,1.000000,6.000000,0.500000,1.000000
VPzDdj72,200,0, test, 3, 1, 17, 4, 2, 2, 4, 0.65, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 1.1333733000792563, 1, 9.000000,38.000000,1.000000,6.000000,0.500000,1.000000
VPzDdj72,200,0, test, 3, 1, 18, 4, 1, 4, 1, 0.65, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 1.2395466002635658, 1, 10.000000,39.000000,1.000000,6.000000,0.500000,1.000000
