ShaharID, group, counterbalance, block_type, block, delay_condition, trial, chosen, unchosen, offer_left_image, offer_right_image, exp_value_chosen, exp_value_unchosen, choice_location, choice_key, exp_value1, exp_value2, exp_value3, exp_value4, RT, reward, coins_per_block, coins_per_task,ITI_duration,rt_deadline,choice_feedback_duration,outcome_duration
ePRI4wC0,200,1, practice, 1, 1, 1, 4, 1, 4, 1, 0.65, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 3.708604000043124, 0, 0.000000,0.000000,1.000000,6.000000,0.500000,1.000000
ePRI4wC0,200,1, practice, 1, 1, 2, 4, 1, 1, 4, 0.65, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 1.1647279001772404, 1, 1.000000,1.000000,1.000000,6.000000,0.500000,1.000000
ePRI4wC0,200,1, practice, 1, 1, 3, 4, 3, 4, 3, 0.65, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 1.0671310999896377, 0, 1.000000,1.000000,1.000000,6.000000,0.500000,1.000000
ePRI4wC0,200,1, practice, 1, 1, 4, 4, 1, 1, 4, 0.65, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 0.5413649999536574, 0, 1.000000,1.000000,1.000000,6.000000,0.500000,1.000000
ePRI4wC0,200,1, practice, 1, 1, 5, 4, 1, 4, 1, 0.65, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 1.366689900169149, 1, 2.000000,2.000000,1.000000,6.000000,0.500000,1.000000
ePRI4wC0,200,1, test, 1, 7, 1, 3, 4, 3, 4, 0.55, 0.65, left, 1, 0.35, 0.45, 0.55, 0.65, 0.6194252998102456, 1, 1.000000,3.000000,1.000000,6.000000,0.500000,1.000000
ePRI4wC0,200,1, test, 1, 7, 2, 4, 2, 2, 4, 0.65, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 0.8117498999927193, 0, 1.000000,3.000000,1.000000,6.000000,0.500000,1.000000
ePRI4wC0,200,1, test, 1, 7, 3, 3, 1, 3, 1, 0.55, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 0.5580337001010776, 0, 1.000000,3.000000,1.000000,6.000000,0.500000,1.000000
ePRI4wC0,200,1, test, 1, 7, 4, 1, 2, 1, 2, 0.35, 0.45, left, 1, 0.35, 0.45, 0.55, 0.65, 0.989668200025335, 0, 1.000000,3.000000,1.000000,6.000000,0.500000,1.000000
ePRI4wC0,200,1, test, 1, 7, 5, 3, 4, 3, 4, 0.55, 0.65, left, 1, 0.35, 0.45, 0.55, 0.65, 0.8139656998682767, 1, 2.000000,4.000000,1.000000,6.000000,0.500000,1.000000
ePRI4wC0,200,1, test, 1, 7, 6, 2, 1, 1, 2, 0.45, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 0.5391549000050873, 1, 3.000000,5.000000,1.000000,6.000000,0.500000,1.000000
ePRI4wC0,200,1, test, 1, 7, 7, 1, 4, 4, 1, 0.35, 0.65, right, 2, 0.35, 0.45, 0.55, 0.65, 0.7692545000463724, 0, 3.000000,5.000000,1.000000,6.000000,0.500000,1.000000
ePRI4wC0,200,1, test, 1, 7, 8, 4, 1, 1, 4, 0.65, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 0.4706433000974357, 1, 4.000000,6.000000,1.000000,6.000000,0.500000,1.000000
ePRI4wC0,200,1, test, 1, 7, 9, 3, 2, 3, 2, 0.55, 0.45, left, 1, 0.35, 0.45, 0.55, 0.65, 0.8856375000905246, 0, 4.000000,6.000000,1.000000,6.000000,0.500000,1.000000
ePRI4wC0,200,1, test, 1, 7, 10, 3, 4, 3, 4, 0.55, 0.65, left, 1, 0.35, 0.45, 0.55, 0.65, 0.3339744999539107, 1, 5.000000,7.000000,1.000000,6.000000,0.500000,1.000000
ePRI4wC0,200,1, test, 1, 7, 11, 2, 1, 1, 2, 0.45, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 0.5743420000653714, 1, 6.000000,8.000000,1.000000,6.000000,0.500000,1.000000
ePRI4wC0,200,1, test, 1, 7, 12, 1, 4, 1, 4, 0.35, 0.65, left, 1, 0.35, 0.45, 0.55, 0.65, 0.9076908000279218, 0, 6.000000,8.000000,1.000000,6.000000,0.500000,1.000000
ePRI4wC0,200,1, test, 1, 7, 13, 1, 3, 1, 3, 0.35, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 1.681101799942553, 0, 6.000000,8.000000,1.000000,6.000000,0.500000,1.000000
ePRI4wC0,200,1, test, 1, 7, 14, 4, 1, 1, 4, 0.65, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 0.33362230006605387, 1, 7.000000,9.000000,1.000000,6.000000,0.500000,1.000000
