ShaharID, group, counterbalance, block_type, block, delay_condition, trial, chosen, unchosen, offer_left_image, offer_right_image, exp_value_chosen, exp_value_unchosen, choice_location, choice_key, exp_value1, exp_value2, exp_value3, exp_value4, RT, reward, coins_per_block, coins_per_task,ITI_duration,rt_deadline,choice_feedback_duration,outcome_duration
fHuaqm90,100,0, practice, 1, 1, 1, 4, 2, 4, 2, 0.65, 0.45, left, 1, 0.35, 0.45, 0.55, 0.65, 4.1546807999257, 0, 0.000000,0.000000,1.000000,6.000000,0.500000,1.000000
fHuaqm90,100,0, practice, 1, 1, 2, 1, 4, 1, 4, 0.35, 0.65, left, 1, 0.35, 0.45, 0.55, 0.65, 1.3282201999099925, 0, 0.000000,0.000000,1.000000,6.000000,0.500000,1.000000
fHuaqm90,100,0, practice, 1, 1, 3, 2, 1, 2, 1, 0.45, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 3.7552531000692397, 1, 1.000000,1.000000,1.000000,6.000000,0.500000,1.000000
fHuaqm90,100,0, practice, 1, 1, 4, 3, 1, 1, 3, 0.55, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 3.2255998000036925, 1, 2.000000,2.000000,1.000000,6.000000,0.500000,1.000000
fHuaqm90,100,0, practice, 1, 1, 5, 4, 3, 3, 4, 0.65, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 1.7165673000272363, 0, 2.000000,2.000000,1.000000,6.000000,0.500000,1.000000
fHuaqm90,100,0, test, 1, 1, 1, 4, 3, 4, 3, 0.65, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 1.500958300079219, 1, 1.000000,3.000000,1.000000,6.000000,0.500000,1.000000
fHuaqm90,100,0, test, 1, 1, 2, 4, 3, 3, 4, 0.65, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 1.125807199976407, 0, 1.000000,3.000000,1.000000,6.000000,0.500000,1.000000
fHuaqm90,100,0, test, 1, 1, 3, 4, 1, 4, 1, 0.65, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 0.9615714000537992, 0, 1.000000,3.000000,1.000000,6.000000,0.500000,1.000000
fHuaqm90,100,0, test, 1, 1, 4, 2, 3, 2, 3, 0.45, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 0.7112259999848902, 1, 2.000000,4.000000,1.000000,6.000000,0.500000,1.000000
fHuaqm90,100,0, test, 1, 1, 5, 1, 3, 3, 1, 0.35, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 1.205191999906674, 0, 2.000000,4.000000,1.000000,6.000000,0.500000,1.000000
fHuaqm90,100,0, test, 1, 1, 6, 2, 3, 2, 3, 0.45, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 0.5072650000220165, 1, 3.000000,5.000000,1.000000,6.000000,0.500000,1.000000
fHuaqm90,100,0, test, 1, 1, 7, 3, 1, 1, 3, 0.55, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 0.9568921000463888, 1, 4.000000,6.000000,1.000000,6.000000,0.500000,1.000000
fHuaqm90,100,0, test, 1, 1, 8, 1, 2, 1, 2, 0.35, 0.45, left, 1, 0.35, 0.45, 0.55, 0.65, 0.37161639996338636, 0, 4.000000,6.000000,1.000000,6.000000,0.500000,1.000000
fHuaqm90,100,0, test, 1, 1, 9, 2, 3, 3, 2, 0.45, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 2.245564499986358, 0, 4.000000,6.000000,1.000000,6.000000,0.500000,1.000000
fHuaqm90,100,0, test, 1, 1, 10, 2, 3, 2, 3, 0.45, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 1.7195753999985754, 1, 5.000000,7.000000,1.000000,6.000000,0.500000,1.000000
fHuaqm90,100,0, test, 1, 1, 11, 3, 4, 3, 4, 0.55, 0.65, left, 1, 0.35, 0.45, 0.55, 0.65, 1.603452599956654, 0, 5.000000,7.000000,1.000000,6.000000,0.500000,1.000000
