ShaharID, group, counterbalance, block_type, block, delay_condition, trial, chosen, unchosen, offer_left_image, offer_right_image, exp_value_chosen, exp_value_unchosen, choice_location, choice_key, exp_value1, exp_value2, exp_value3, exp_value4, RT, reward, coins_per_block, coins_per_task,ITI_duration,rt_deadline,choice_feedback_duration,outcome_duration
iLcvR565,200,0, practice, 1, 1, 1, 3, 1, 1, 3, 0.55, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 1.0900413999333978, 1, 1.000000,1.000000,1.000000,6.000000,0.500000,1.000000
iLcvR565,200,0, practice, 1, 1, 2, 2, 3, 2, 3, 0.45, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 0.7917221998795867, 0, 1.000000,1.000000,1.000000,6.000000,0.500000,1.000000
iLcvR565,200,0, practice, 1, 1, 3, 3, 1, 1, 3, 0.55, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 0.41566589986905456, 1, 2.000000,2.000000,1.000000,6.000000,0.500000,1.000000
iLcvR565,200,0, practice, 1, 1, 4, 3, 2, 3, 2, 0.55, 0.45, left, 1, 0.35, 0.45, 0.55, 0.65, 1.1011266000568867, 1, 3.000000,3.000000,1.000000,6.000000,0.500000,1.000000
iLcvR565,200,0, practice, 1, 1, 5, 1, 3, 3, 1, 0.35, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 0.6727062000427395, 0, 3.000000,3.000000,1.000000,6.000000,0.500000,1.000000
iLcvR565,200,0, test, 1, 1, 1, 4, 2, 2, 4, 0.65, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 0.5783194000832736, 1, 1.000000,4.000000,1.000000,6.000000,0.500000,1.000000
iLcvR565,200,0, test, 1, 1, 2, 1, 3, 1, 3, 0.35, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 0.6995647000148892, 1, 2.000000,5.000000,1.000000,6.000000,0.500000,1.000000
iLcvR565,200,0, test, 1, 1, 3, 3, 1, 1, 3, 0.55, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 0.6362254999112338, 1, 3.000000,6.000000,1.000000,6.000000,0.500000,1.000000
iLcvR565,200,0, test, 1, 1, 4, 2, 1, 2, 1, 0.45, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 1.5916616001632065, 0, 3.000000,6.000000,1.000000,6.000000,0.500000,1.000000
iLcvR565,200,0, test, 1, 1, 5, 1, 2, 1, 2, 0.35, 0.45, left, 1, 0.35, 0.45, 0.55, 0.65, 0.7927578000817448, 1, 4.000000,7.000000,1.000000,6.000000,0.500000,1.000000
iLcvR565,200,0, test, 1, 1, 6, 4, 3, 3, 4, 0.65, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 1.538765100063756, 1, 5.000000,8.000000,1.000000,6.000000,0.500000,1.000000
iLcvR565,200,0, test, 1, 1, 7, 1, 2, 1, 2, 0.35, 0.45, left, 1, 0.35, 0.45, 0.55, 0.65, 0.9427781999111176, 0, 5.000000,8.000000,1.000000,6.000000,0.500000,1.000000
iLcvR565,200,0, test, 1, 1, 8, 3, 2, 3, 2, 0.55, 0.45, left, 1, 0.35, 0.45, 0.55, 0.65, 0.9583479999564588, 1, 6.000000,9.000000,1.000000,6.000000,0.500000,1.000000
iLcvR565,200,0, test, 1, 1, 9, 4, 2, 4, 2, 0.65, 0.45, left, 1, 0.35, 0.45, 0.55, 0.65, 0.9929051999934018, 1, 7.000000,10.000000,1.000000,6.000000,0.500000,1.000000
iLcvR565,200,0, test, 1, 1, 10, 3, 1, 1, 3, 0.55, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 1.40644589997828, 0, 7.000000,10.000000,1.000000,6.000000,0.500000,1.000000
iLcvR565,200,0, test, 1, 1, 11, 4, 1, 1, 4, 0.65, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 1.1074057999067008, 1, 8.000000,11.000000,1.000000,6.000000,0.500000,1.000000
