ShaharID, group, counterbalance, block_type, block, delay_condition, trial, chosen, unchosen, offer_left_image, offer_right_image, exp_value_chosen, exp_value_unchosen, choice_location, choice_key, exp_value1, exp_value2, exp_value3, exp_value4, RT, reward, coins_per_block, coins_per_task,ITI_duration,rt_deadline,choice_feedback_duration,outcome_duration
jfMWGw9,100,0, practice, 1, 1, 1, 1, 3, 1, 3, 0.35, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 0.7079419996589422, 0, 0.000000,0.000000,1.000000,6.000000,0.500000,1.000000
jfMWGw9,100,0, practice, 1, 1, 2, 4, 1, 4, 1, 0.65, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 0.7674167999066412, 1, 1.000000,1.000000,1.000000,6.000000,0.500000,1.000000
jfMWGw9,100,0, practice, 1, 1, 3, 4, 3, 3, 4, 0.65, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 1.0224731001071632, 1, 2.000000,2.000000,1.000000,6.000000,0.500000,1.000000
jfMWGw9,100,0, practice, 1, 1, 4, 2, 1, 2, 1, 0.45, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 0.5807306999340653, 0, 2.000000,2.000000,1.000000,6.000000,0.500000,1.000000
jfMWGw9,100,0, practice, 1, 1, 5, 4, 3, 3, 4, 0.65, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 0.8521977001801133, 1, 3.000000,3.000000,1.000000,6.000000,0.500000,1.000000
jfMWGw9,100,0, test, 1, 1, 1, 3, 1, 1, 3, 0.55, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 0.5648137996904552, 0, 0.000000,3.000000,1.000000,6.000000,0.500000,1.000000
jfMWGw9,100,0, test, 1, 1, 2, 2, 3, 2, 3, 0.45, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 0.5604631002061069, 0, 0.000000,3.000000,1.000000,6.000000,0.500000,1.000000
jfMWGw9,100,0, test, 1, 1, 3, 4, 1, 4, 1, 0.65, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 0.8418036000803113, 1, 1.000000,4.000000,1.000000,6.000000,0.500000,1.000000
jfMWGw9,100,0, test, 1, 1, 4, 3, 1, 3, 1, 0.55, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 0.4850421999581158, 1, 2.000000,5.000000,1.000000,6.000000,0.500000,1.000000
jfMWGw9,100,0, test, 1, 1, 5, 3, 4, 3, 4, 0.55, 0.65, left, 1, 0.35, 0.45, 0.55, 0.65, 0.8343026000075042, 1, 3.000000,6.000000,1.000000,6.000000,0.500000,1.000000
jfMWGw9,100,0, test, 1, 1, 6, 1, 4, 1, 4, 0.35, 0.65, left, 1, 0.35, 0.45, 0.55, 0.65, 1.224226700142026, 0, 3.000000,6.000000,1.000000,6.000000,0.500000,1.000000
jfMWGw9,100,0, test, 1, 1, 7, 3, 2, 3, 2, 0.55, 0.45, left, 1, 0.35, 0.45, 0.55, 0.65, 0.49962389981374145, 1, 4.000000,7.000000,1.000000,6.000000,0.500000,1.000000
jfMWGw9,100,0, test, 1, 1, 8, 4, 1, 1, 4, 0.65, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 0.6983399000018835, 1, 5.000000,8.000000,1.000000,6.000000,0.500000,1.000000
jfMWGw9,100,0, test, 1, 1, 9, 3, 4, 4, 3, 0.55, 0.65, right, 2, 0.35, 0.45, 0.55, 0.65, 1.367807799950242, 0, 5.000000,8.000000,1.000000,6.000000,0.500000,1.000000
jfMWGw9,100,0, test, 1, 1, 10, 3, 4, 3, 4, 0.55, 0.65, left, 1, 0.35, 0.45, 0.55, 0.65, 0.7402534997090697, 0, 5.000000,8.000000,1.000000,6.000000,0.500000,1.000000
jfMWGw9,100,0, test, 1, 1, 11, 2, 4, 2, 4, 0.45, 0.65, left, 1, 0.35, 0.45, 0.55, 0.65, 1.425379800144583, 0, 5.000000,8.000000,1.000000,6.000000,0.500000,1.000000
jfMWGw9,100,0, test, 1, 1, 12, 3, 2, 2, 3, 0.55, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 0.560309300199151, 0, 5.000000,8.000000,1.000000,6.000000,0.500000,1.000000
jfMWGw9,100,0, test, 1, 1, 13, 3, 4, 4, 3, 0.55, 0.65, right, 2, 0.35, 0.45, 0.55, 0.65, 0.669822100084275, 0, 5.000000,8.000000,1.000000,6.000000,0.500000,1.000000
jfMWGw9,100,0, test, 1, 1, 14, 3, 1, 1, 3, 0.55, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 0.9800558998249471, 0, 5.000000,8.000000,1.000000,6.000000,0.500000,1.000000
jfMWGw9,100,0, test, 1, 1, 15, 2, 3, 2, 3, 0.45, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 1.2810552003793418, 0, 5.000000,8.000000,1.000000,6.000000,0.500000,1.000000
jfMWGw9,100,0, test, 1, 1, 16, 3, 1, 3, 1, 0.55, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 1.0733938002958894, 0, 5.000000,8.000000,1.000000,6.000000,0.500000,1.000000
jfMWGw9,100,0, test, 1, 1, 17, 1, 3, 3, 1, 0.35, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 0.3666976001113653, 0, 5.000000,8.000000,1.000000,6.000000,0.500000,1.000000
jfMWGw9,100,0, test, 1, 1, 18, 1, 3, 1, 3, 0.35, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 1.2796168997883797, 0, 5.000000,8.000000,1.000000,6.000000,0.500000,1.000000
jfMWGw9,100,0, test, 1, 1, 19, 1, 3, 3, 1, 0.35, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 1.3970583998598158, 1, 6.000000,9.000000,1.000000,6.000000,0.500000,1.000000
jfMWGw9,100,0, test, 1, 1, 20, 4, 3, 3, 4, 0.65, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 0.42382199969142675, 1, 7.000000,10.000000,1.000000,6.000000,0.500000,1.000000
jfMWGw9,100,0, test, 1, 1, 21, 4, 1, 1, 4, 0.65, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 0.7107987999916077, 1, 8.000000,11.000000,1.000000,6.000000,0.500000,1.000000
jfMWGw9,100,0, test, 1, 1, 22, 4, 2, 4, 2, 0.65, 0.45, left, 1, 0.35, 0.45, 0.55, 0.65, 0.5139222000725567, 1, 9.000000,12.000000,1.000000,6.000000,0.500000,1.000000
jfMWGw9,100,0, test, 1, 1, 23, 4, 3, 3, 4, 0.65, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 0.4580802000127733, 0, 9.000000,12.000000,1.000000,6.000000,0.500000,1.000000
