ShaharID, group, counterbalance, block_type, block, delay_condition, trial, chosen, unchosen, offer_left_image, offer_right_image, exp_value_chosen, exp_value_unchosen, choice_location, choice_key, exp_value1, exp_value2, exp_value3, exp_value4, RT, reward, coins_per_block, coins_per_task,ITI_duration,rt_deadline,choice_feedback_duration,outcome_duration
pNc4qFar,200,0, practice, 1, 1, 1, 3, 4, 4, 3, 0.55, 0.65, right, 2, 0.35, 0.45, 0.55, 0.65, 1.3679217000026256, 1, 1.000000,1.000000,1.000000,6.000000,0.500000,1.000000
pNc4qFar,200,0, practice, 1, 1, 2, 2, 3, 3, 2, 0.45, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 2.015363199985586, 1, 2.000000,2.000000,1.000000,6.000000,0.500000,1.000000
pNc4qFar,200,0, practice, 1, 1, 3, 3, 1, 3, 1, 0.55, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 1.5908067999989726, 1, 3.000000,3.000000,1.000000,6.000000,0.500000,1.000000
pNc4qFar,200,0, practice, 1, 1, 4, 2, 3, 3, 2, 0.45, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 1.3544728999841027, 1, 4.000000,4.000000,1.000000,6.000000,0.500000,1.000000
pNc4qFar,200,0, practice, 1, 1, 5, 3, 4, 3, 4, 0.55, 0.65, left, 1, 0.35, 0.45, 0.55, 0.65, 1.7987419000128284, 0, 4.000000,4.000000,1.000000,6.000000,0.500000,1.000000
pNc4qFar,200,0, test, 1, 1, 1, 4, 3, 3, 4, 0.65, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 1.6198193000163883, 0, 0.000000,4.000000,1.000000,6.000000,0.500000,1.000000
pNc4qFar,200,0, test, 1, 1, 2, 3, 2, 2, 3, 0.55, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 1.647740899992641, 0, 0.000000,4.000000,1.000000,6.000000,0.500000,1.000000
pNc4qFar,200,0, test, 1, 1, 3, 2, 1, 2, 1, 0.45, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 0.9656350999721326, 0, 0.000000,4.000000,1.000000,6.000000,0.500000,1.000000
pNc4qFar,200,0, test, 1, 1, 4, 2, 4, 4, 2, 0.45, 0.65, right, 2, 0.35, 0.45, 0.55, 0.65, 1.2560197999700904, 1, 1.000000,5.000000,1.000000,6.000000,0.500000,1.000000
pNc4qFar,200,0, test, 1, 1, 5, 2, 3, 2, 3, 0.45, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 2.189690800034441, 1, 2.000000,6.000000,1.000000,6.000000,0.500000,1.000000
pNc4qFar,200,0, test, 1, 1, 6, 3, 2, 2, 3, 0.55, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 0.8845041999593377, 1, 3.000000,7.000000,1.000000,6.000000,0.500000,1.000000
pNc4qFar,200,0, test, 1, 1, 7, 2, 3, 2, 3, 0.45, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 2.0570876999991015, 1, 4.000000,8.000000,1.000000,6.000000,0.500000,1.000000
pNc4qFar,200,0, test, 1, 1, 8, 1, 4, 4, 1, 0.35, 0.65, right, 2, 0.35, 0.45, 0.55, 0.65, 2.351727099972777, 1, 5.000000,9.000000,1.000000,6.000000,0.500000,1.000000
pNc4qFar,200,0, test, 1, 1, 9, 4, 3, 3, 4, 0.65, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 1.1352931000292301, 1, 6.000000,10.000000,1.000000,6.000000,0.500000,1.000000
pNc4qFar,200,0, test, 1, 1, 10, 2, 3, 3, 2, 0.45, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 2.6862366999848746, 0, 6.000000,10.000000,1.000000,6.000000,0.500000,1.000000
pNc4qFar,200,0, test, 1, 1, 11, 2, 4, 2, 4, 0.45, 0.65, left, 1, 0.35, 0.45, 0.55, 0.65, 1.0502693000016734, 0, 6.000000,10.000000,1.000000,6.000000,0.500000,1.000000
pNc4qFar,200,0, test, 1, 1, 12, 2, 3, 2, 3, 0.45, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 1.3213892999920063, 1, 7.000000,11.000000,1.000000,6.000000,0.500000,1.000000
pNc4qFar,200,0, test, 1, 1, 13, 4, 1, 4, 1, 0.65, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 2.384752899990417, 0, 7.000000,11.000000,1.000000,6.000000,0.500000,1.000000
pNc4qFar,200,0, test, 1, 1, 14, 3, 1, 1, 3, 0.55, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 1.7155940999509767, 0, 7.000000,11.000000,1.000000,6.000000,0.500000,1.000000
pNc4qFar,200,0, test, 1, 1, 15, 1, 4, 1, 4, 0.35, 0.65, left, 1, 0.35, 0.45, 0.55, 0.65, 2.0355322000104934, 0, 7.000000,11.000000,1.000000,6.000000,0.500000,1.000000
pNc4qFar,200,0, test, 1, 1, 16, 2, 3, 3, 2, 0.45, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 2.2742711000028066, 0, 7.000000,11.000000,1.000000,6.000000,0.500000,1.000000
pNc4qFar,200,0, test, 1, 1, 17, 3, 1, 1, 3, 0.55, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 0.7647948000230826, 0, 7.000000,11.000000,1.000000,6.000000,0.500000,1.000000
pNc4qFar,200,0, test, 1, 1, 18, 1, 2, 1, 2, 0.35, 0.45, left, 1, 0.35, 0.45, 0.55, 0.65, 0.7129827999742702, 0, 7.000000,11.000000,1.000000,6.000000,0.500000,1.000000
pNc4qFar,200,0, test, 1, 1, 19, 4, 2, 4, 2, 0.65, 0.45, left, 1, 0.35, 0.45, 0.55, 0.65, 1.6583298000041395, 1, 8.000000,12.000000,1.000000,6.000000,0.500000,1.000000
pNc4qFar,200,0, test, 1, 1, 20, 3, 4, 3, 4, 0.55, 0.65, left, 1, 0.35, 0.45, 0.55, 0.65, 0.9816296000499278, 0, 8.000000,12.000000,1.000000,6.000000,0.500000,1.000000
