ShaharID, group, counterbalance, block_type, block, delay_condition, trial, chosen, unchosen, offer_left_image, offer_right_image, exp_value_chosen, exp_value_unchosen, choice_location, choice_key, exp_value1, exp_value2, exp_value3, exp_value4, RT, reward, coins_per_block, coins_per_task,ITI_duration,rt_deadline,choice_feedback_duration,outcome_duration
tuLZxHUt,100,1, practice, 1, 1, 1, 1, 3, 1, 3, 0.35, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 1.4933196000056341, 0, 0.000000,0.000000,1.000000,6.000000,0.500000,1.000000
tuLZxHUt,100,1, practice, 1, 1, 2, 2, 4, 4, 2, 0.45, 0.65, right, 2, 0.35, 0.45, 0.55, 0.65, 0.9099703000392765, 1, 1.000000,1.000000,1.000000,6.000000,0.500000,1.000000
tuLZxHUt,100,1, practice, 1, 1, 3, 3, 4, 4, 3, 0.55, 0.65, right, 2, 0.35, 0.45, 0.55, 0.65, 1.441420599934645, 0, 1.000000,1.000000,1.000000,6.000000,0.500000,1.000000
tuLZxHUt,100,1, practice, 1, 1, 4, 2, 1, 1, 2, 0.45, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 1.0325315999798477, 1, 2.000000,2.000000,1.000000,6.000000,0.500000,1.000000
tuLZxHUt,100,1, practice, 1, 1, 5, 2, 4, 2, 4, 0.45, 0.65, left, 1, 0.35, 0.45, 0.55, 0.65, 1.8193005999783054, 0, 2.000000,2.000000,1.000000,6.000000,0.500000,1.000000
tuLZxHUt,100,1, test, 1, 7, 1, 2, 3, 3, 2, 0.45, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 0.8352880000602454, 1, 1.000000,3.000000,1.000000,6.000000,0.500000,1.000000
tuLZxHUt,100,1, test, 1, 7, 2, 3, 4, 3, 4, 0.55, 0.65, left, 1, 0.35, 0.45, 0.55, 0.65, 3.0035394000587985, 1, 2.000000,4.000000,1.000000,6.000000,0.500000,1.000000
tuLZxHUt,100,1, test, 1, 7, 3, 2, 3, 3, 2, 0.45, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 1.8051669999258593, 0, 2.000000,4.000000,1.000000,6.000000,0.500000,1.000000
tuLZxHUt,100,1, test, 1, 7, 4, 4, 1, 4, 1, 0.65, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 2.365633200039156, 1, 3.000000,5.000000,1.000000,6.000000,0.500000,1.000000
tuLZxHUt,100,1, test, 1, 7, 5, 1, 2, 1, 2, 0.35, 0.45, left, 1, 0.35, 0.45, 0.55, 0.65, 1.7796873999759555, 1, 4.000000,6.000000,1.000000,6.000000,0.500000,1.000000
tuLZxHUt,100,1, test, 1, 7, 6, 4, 1, 1, 4, 0.65, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 1.4009262999752536, 1, 5.000000,7.000000,1.000000,6.000000,0.500000,1.000000
tuLZxHUt,100,1, test, 1, 7, 7, 3, 4, 3, 4, 0.55, 0.65, left, 1, 0.35, 0.45, 0.55, 0.65, 1.6569701000116765, 0, 5.000000,7.000000,1.000000,6.000000,0.500000,1.000000
tuLZxHUt,100,1, test, 1, 7, 8, 1, 4, 4, 1, 0.35, 0.65, right, 2, 0.35, 0.45, 0.55, 0.65, 1.1395439999178052, 1, 6.000000,8.000000,1.000000,6.000000,0.500000,1.000000
tuLZxHUt,100,1, test, 1, 7, 9, 3, 1, 1, 3, 0.55, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 1.3308697999455035, 1, 7.000000,9.000000,1.000000,6.000000,0.500000,1.000000
tuLZxHUt,100,1, test, 1, 7, 10, 4, 2, 2, 4, 0.65, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 1.9465397999156266, 1, 8.000000,10.000000,1.000000,6.000000,0.500000,1.000000
tuLZxHUt,100,1, test, 1, 7, 11, 3, 4, 3, 4, 0.55, 0.65, left, 1, 0.35, 0.45, 0.55, 0.65, 1.5155221000313759, 0, 8.000000,10.000000,1.000000,6.000000,0.500000,1.000000
tuLZxHUt,100,1, test, 1, 7, 12, 1, 4, 1, 4, 0.35, 0.65, left, 1, 0.35, 0.45, 0.55, 0.65, 1.236559999990277, 0, 8.000000,10.000000,1.000000,6.000000,0.500000,1.000000
tuLZxHUt,100,1, test, 1, 7, 13, 1, 3, 3, 1, 0.35, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 1.8228514000074938, 0, 8.000000,10.000000,1.000000,6.000000,0.500000,1.000000
tuLZxHUt,100,1, test, 1, 7, 14, 4, 1, 4, 1, 0.65, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 2.406877400004305, 0, 8.000000,10.000000,1.000000,6.000000,0.500000,1.000000
tuLZxHUt,100,1, test, 1, 7, 15, 4, 3, 3, 4, 0.65, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 3.207371799973771, 0, 8.000000,10.000000,1.000000,6.000000,0.500000,1.000000
tuLZxHUt,100,1, test, 1, 7, 16, 2, 1, 1, 2, 0.45, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 3.2290055999765173, 0, 8.000000,10.000000,1.000000,6.000000,0.500000,1.000000
tuLZxHUt,100,1, test, 1, 7, 17, 3, 4, 3, 4, 0.55, 0.65, left, 1, 0.35, 0.45, 0.55, 0.65, 1.436125100008212, 1, 9.000000,11.000000,1.000000,6.000000,0.500000,1.000000
tuLZxHUt,100,1, test, 1, 7, 18, 2, 4, 4, 2, 0.45, 0.65, right, 2, 0.35, 0.45, 0.55, 0.65, 1.5026742999907583, 0, 9.000000,11.000000,1.000000,6.000000,0.500000,1.000000
tuLZxHUt,100,1, test, 1, 7, 19, 1, 4, 4, 1, 0.35, 0.65, right, 2, 0.35, 0.45, 0.55, 0.65, 3.4633656999794766, 1, 10.000000,12.000000,1.000000,6.000000,0.500000,1.000000
tuLZxHUt,100,1, test, 1, 7, 20, 2, 1, 1, 2, 0.45, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 2.201399900019169, 0, 10.000000,12.000000,1.000000,6.000000,0.500000,1.000000
tuLZxHUt,100,1, test, 1, 7, 21, 1, 2, 1, 2, 0.35, 0.45, left, 1, 0.35, 0.45, 0.55, 0.65, 1.0458742999471724, 0, 10.000000,12.000000,1.000000,6.000000,0.500000,1.000000
tuLZxHUt,100,1, test, 1, 7, 22, 1, 4, 4, 1, 0.35, 0.65, right, 2, 0.35, 0.45, 0.55, 0.65, 2.173278999980539, 1, 11.000000,13.000000,1.000000,6.000000,0.500000,1.000000
tuLZxHUt,100,1, test, 1, 7, 23, 3, 4, 4, 3, 0.55, 0.65, right, 2, 0.35, 0.45, 0.55, 0.65, 1.4952886999817565, 1, 12.000000,14.000000,1.000000,6.000000,0.500000,1.000000
tuLZxHUt,100,1, test, 1, 7, 24, 3, 1, 3, 1, 0.55, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 1.816562099964358, 1, 13.000000,15.000000,1.000000,6.000000,0.500000,1.000000
tuLZxHUt,100,1, test, 1, 7, 25, 2, 3, 2, 3, 0.45, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 1.0045211999677122, 0, 13.000000,15.000000,1.000000,6.000000,0.500000,1.000000
tuLZxHUt,100,1, test, 2, 1, 1, 4, 1, 1, 4, 0.65, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 0.7342734000412747, 1, 1.000000,16.000000,1.000000,6.000000,0.500000,1.000000
tuLZxHUt,100,1, test, 2, 1, 2, 3, 4, 4, 3, 0.55, 0.65, right, 2, 0.35, 0.45, 0.55, 0.65, 2.3786127000348642, 0, 1.000000,16.000000,1.000000,6.000000,0.500000,1.000000
tuLZxHUt,100,1, test, 2, 1, 3, 1, 2, 1, 2, 0.35, 0.45, left, 1, 0.35, 0.45, 0.55, 0.65, 0.7325844999868423, 0, 1.000000,16.000000,1.000000,6.000000,0.500000,1.000000
tuLZxHUt,100,1, test, 2, 1, 4, 2, 3, 2, 3, 0.45, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 1.6149346999591216, 1, 2.000000,17.000000,1.000000,6.000000,0.500000,1.000000
tuLZxHUt,100,1, test, 2, 1, 5, 4, 1, 4, 1, 0.65, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 0.9542806000681594, 1, 3.000000,18.000000,1.000000,6.000000,0.500000,1.000000
tuLZxHUt,100,1, test, 2, 1, 6, 2, 3, 3, 2, 0.45, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 1.2851236999267712, 1, 4.000000,19.000000,1.000000,6.000000,0.500000,1.000000
tuLZxHUt,100,1, test, 2, 1, 7, 2, 1, 2, 1, 0.45, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 1.2895412999205291, 0, 4.000000,19.000000,1.000000,6.000000,0.500000,1.000000
tuLZxHUt,100,1, test, 2, 1, 8, 4, 1, 1, 4, 0.65, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 0.9141883000265807, 1, 5.000000,20.000000,1.000000,6.000000,0.500000,1.000000
tuLZxHUt,100,1, test, 2, 1, 9, 4, 2, 2, 4, 0.65, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 1.0216691000387073, 0, 5.000000,20.000000,1.000000,6.000000,0.500000,1.000000
tuLZxHUt,100,1, test, 2, 1, 10, 2, 1, 2, 1, 0.45, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 0.7329403000185266, 0, 5.000000,20.000000,1.000000,6.000000,0.500000,1.000000
tuLZxHUt,100,1, test, 2, 1, 11, 4, 1, 4, 1, 0.65, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 2.6492456999840215, 0, 5.000000,20.000000,1.000000,6.000000,0.500000,1.000000
tuLZxHUt,100,1, test, 2, 1, 12, 4, 1, 1, 4, 0.65, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 2.4229301000013947, 1, 6.000000,21.000000,1.000000,6.000000,0.500000,1.000000
tuLZxHUt,100,1, test, 2, 1, 13, 1, 3, 1, 3, 0.35, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 2.3542336999671534, 1, 7.000000,22.000000,1.000000,6.000000,0.500000,1.000000
tuLZxHUt,100,1, test, 2, 1, 14, 2, 1, 1, 2, 0.45, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 0.8763677999377251, 1, 8.000000,23.000000,1.000000,6.000000,0.500000,1.000000
tuLZxHUt,100,1, test, 2, 1, 15, 2, 3, 3, 2, 0.45, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 1.2614755999529734, 0, 8.000000,23.000000,1.000000,6.000000,0.500000,1.000000
tuLZxHUt,100,1, test, 2, 1, 16, 4, 1, 1, 4, 0.65, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 1.5282046000938863, 1, 9.000000,24.000000,1.000000,6.000000,0.500000,1.000000
tuLZxHUt,100,1, test, 2, 1, 17, 2, 4, 2, 4, 0.45, 0.65, left, 1, 0.35, 0.45, 0.55, 0.65, 1.044104199972935, 0, 9.000000,24.000000,1.000000,6.000000,0.500000,1.000000
tuLZxHUt,100,1, test, 2, 1, 18, 4, 2, 4, 2, 0.65, 0.45, left, 1, 0.35, 0.45, 0.55, 0.65, 1.8148419000208378, 1, 10.000000,25.000000,1.000000,6.000000,0.500000,1.000000
tuLZxHUt,100,1, test, 2, 1, 19, 3, 1, 1, 3, 0.55, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 1.6260438000317663, 0, 10.000000,25.000000,1.000000,6.000000,0.500000,1.000000
tuLZxHUt,100,1, test, 2, 1, 20, 1, 2, 2, 1, 0.35, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 1.890443299897015, 0, 10.000000,25.000000,1.000000,6.000000,0.500000,1.000000
tuLZxHUt,100,1, test, 2, 1, 21, 4, 3, 3, 4, 0.65, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 0.9715320999966934, 0, 10.000000,25.000000,1.000000,6.000000,0.500000,1.000000
tuLZxHUt,100,1, test, 2, 1, 22, 3, 4, 4, 3, 0.55, 0.65, right, 2, 0.35, 0.45, 0.55, 0.65, 1.1574383999686688, 1, 11.000000,26.000000,1.000000,6.000000,0.500000,1.000000
tuLZxHUt,100,1, test, 2, 1, 23, 3, 4, 4, 3, 0.55, 0.65, right, 2, 0.35, 0.45, 0.55, 0.65, 0.7439902999904007, 0, 11.000000,26.000000,1.000000,6.000000,0.500000,1.000000
tuLZxHUt,100,1, test, 2, 1, 24, 2, 3, 2, 3, 0.45, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 1.0226963000604883, 1, 12.000000,27.000000,1.000000,6.000000,0.500000,1.000000
tuLZxHUt,100,1, test, 2, 1, 25, 4, 1, 1, 4, 0.65, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 1.3300912000704557, 1, 13.000000,28.000000,1.000000,6.000000,0.500000,1.000000
tuLZxHUt,100,1, test, 3, 7, 1, 3, 2, 3, 2, 0.55, 0.45, left, 1, 0.35, 0.45, 0.55, 0.65, 0.7199817000655457, 1, 1.000000,29.000000,1.000000,6.000000,0.500000,1.000000
tuLZxHUt,100,1, test, 3, 7, 2, 3, 4, 4, 3, 0.55, 0.65, right, 2, 0.35, 0.45, 0.55, 0.65, 2.000133700086735, 1, 2.000000,30.000000,1.000000,6.000000,0.500000,1.000000
tuLZxHUt,100,1, test, 3, 7, 3, 2, 1, 1, 2, 0.45, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 2.808476399979554, 0, 2.000000,30.000000,1.000000,6.000000,0.500000,1.000000
tuLZxHUt,100,1, test, 3, 7, 4, 3, 2, 3, 2, 0.55, 0.45, left, 1, 0.35, 0.45, 0.55, 0.65, 1.3294374999823049, 1, 3.000000,31.000000,1.000000,6.000000,0.500000,1.000000
tuLZxHUt,100,1, test, 3, 7, 5, 3, 2, 3, 2, 0.55, 0.45, left, 1, 0.35, 0.45, 0.55, 0.65, 0.8932476999470964, 0, 3.000000,31.000000,1.000000,6.000000,0.500000,1.000000
tuLZxHUt,100,1, test, 3, 7, 6, 1, 3, 3, 1, 0.35, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 1.3585822000168264, 0, 3.000000,31.000000,1.000000,6.000000,0.500000,1.000000
tuLZxHUt,100,1, test, 3, 7, 7, 2, 1, 1, 2, 0.45, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 0.9451648000394925, 1, 4.000000,32.000000,1.000000,6.000000,0.500000,1.000000
tuLZxHUt,100,1, test, 3, 7, 8, 1, 3, 1, 3, 0.35, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 0.9439510001102462, 1, 5.000000,33.000000,1.000000,6.000000,0.500000,1.000000
tuLZxHUt,100,1, test, 3, 7, 9, 3, 1, 3, 1, 0.55, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 1.4112930999835953, 1, 6.000000,34.000000,1.000000,6.000000,0.500000,1.000000
tuLZxHUt,100,1, test, 3, 7, 10, 3, 2, 2, 3, 0.55, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 1.1718923000153154, 0, 6.000000,34.000000,1.000000,6.000000,0.500000,1.000000
tuLZxHUt,100,1, test, 3, 7, 11, 2, 1, 1, 2, 0.45, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 0.6804594000568613, 0, 6.000000,34.000000,1.000000,6.000000,0.500000,1.000000
