ShaharID, group, counterbalance, block_type, block, delay_condition, trial, chosen, unchosen, offer_left_image, offer_right_image, exp_value_chosen, exp_value_unchosen, choice_location, choice_key, exp_value1, exp_value2, exp_value3, exp_value4, RT, reward, coins_per_block, coins_per_task,ITI_duration,rt_deadline,choice_feedback_duration,outcome_duration
v5fROGxv,200,0, practice, 1, 1, 1, 3, 1, 1, 3, 0.55, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 1.9195531000150368, 1, 1.000000,1.000000,1.000000,6.000000,0.500000,1.000000
v5fROGxv,200,0, practice, 1, 1, 2, 2, 1, 1, 2, 0.45, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 0.8831856999895535, 0, 1.000000,1.000000,1.000000,6.000000,0.500000,1.000000
v5fROGxv,200,0, practice, 1, 1, 3, 1, 2, 1, 2, 0.35, 0.45, left, 1, 0.35, 0.45, 0.55, 0.65, 1.0922072000103071, 0, 1.000000,1.000000,1.000000,6.000000,0.500000,1.000000
v5fROGxv,200,0, practice, 1, 1, 4, 4, 1, 4, 1, 0.65, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 0.8392220999812707, 1, 2.000000,2.000000,1.000000,6.000000,0.500000,1.000000
v5fROGxv,200,0, practice, 1, 1, 5, 4, 2, 2, 4, 0.65, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 0.7256167000159621, 1, 3.000000,3.000000,1.000000,6.000000,0.500000,1.000000
v5fROGxv,200,0, test, 1, 1, 1, 2, 1, 2, 1, 0.45, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 0.8217835999676026, 0, 0.000000,3.000000,1.000000,6.000000,0.500000,1.000000
v5fROGxv,200,0, test, 1, 1, 2, 3, 4, 3, 4, 0.55, 0.65, left, 1, 0.35, 0.45, 0.55, 0.65, 0.8979904999723658, 1, 1.000000,4.000000,1.000000,6.000000,0.500000,1.000000
v5fROGxv,200,0, test, 1, 1, 3, 1, 2, 1, 2, 0.35, 0.45, left, 1, 0.35, 0.45, 0.55, 0.65, 0.7893953999737278, 0, 1.000000,4.000000,1.000000,6.000000,0.500000,1.000000
v5fROGxv,200,0, test, 1, 1, 4, 4, 1, 4, 1, 0.65, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 1.0311476000351831, 0, 1.000000,4.000000,1.000000,6.000000,0.500000,1.000000
v5fROGxv,200,0, test, 1, 1, 5, 3, 2, 3, 2, 0.55, 0.45, left, 1, 0.35, 0.45, 0.55, 0.65, 0.4705182999605313, 0, 1.000000,4.000000,1.000000,6.000000,0.500000,1.000000
v5fROGxv,200,0, test, 1, 1, 6, 2, 1, 1, 2, 0.45, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 0.6289888999890536, 0, 1.000000,4.000000,1.000000,6.000000,0.500000,1.000000
v5fROGxv,200,0, test, 1, 1, 7, 3, 1, 3, 1, 0.55, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 0.6926749999984168, 1, 2.000000,5.000000,1.000000,6.000000,0.500000,1.000000
v5fROGxv,200,0, test, 1, 1, 8, 1, 2, 2, 1, 0.35, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 1.4652178999967873, 1, 3.000000,6.000000,1.000000,6.000000,0.500000,1.000000
v5fROGxv,200,0, test, 1, 1, 9, 3, 1, 1, 3, 0.55, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 0.8466060000355355, 1, 4.000000,7.000000,1.000000,6.000000,0.500000,1.000000
v5fROGxv,200,0, test, 1, 1, 10, 4, 2, 2, 4, 0.65, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 1.613608599989675, 0, 4.000000,7.000000,1.000000,6.000000,0.500000,1.000000
v5fROGxv,200,0, test, 1, 1, 11, 2, 4, 2, 4, 0.45, 0.65, left, 1, 0.35, 0.45, 0.55, 0.65, 1.3103474999661557, 1, 5.000000,8.000000,1.000000,6.000000,0.500000,1.000000
v5fROGxv,200,0, test, 1, 1, 12, 3, 4, 4, 3, 0.55, 0.65, right, 2, 0.35, 0.45, 0.55, 0.65, 0.7823959999950603, 0, 5.000000,8.000000,1.000000,6.000000,0.500000,1.000000
v5fROGxv,200,0, test, 1, 1, 13, 1, 4, 1, 4, 0.35, 0.65, left, 1, 0.35, 0.45, 0.55, 0.65, 1.2760609000106342, 0, 5.000000,8.000000,1.000000,6.000000,0.500000,1.000000
v5fROGxv,200,0, test, 1, 1, 14, 2, 4, 2, 4, 0.45, 0.65, left, 1, 0.35, 0.45, 0.55, 0.65, 0.7929521999903955, 1, 6.000000,9.000000,1.000000,6.000000,0.500000,1.000000
v5fROGxv,200,0, test, 1, 1, 15, 1, 2, 2, 1, 0.35, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 0.4871380999684334, 1, 7.000000,10.000000,1.000000,6.000000,0.500000,1.000000
v5fROGxv,200,0, test, 1, 1, 16, 2, 1, 2, 1, 0.45, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 1.3799969000392593, 0, 7.000000,10.000000,1.000000,6.000000,0.500000,1.000000
v5fROGxv,200,0, test, 1, 1, 17, 4, 3, 4, 3, 0.65, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 2.178041100036353, 1, 8.000000,11.000000,1.000000,6.000000,0.500000,1.000000
v5fROGxv,200,0, test, 1, 1, 18, 4, 3, 4, 3, 0.65, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 1.122410600015428, 1, 9.000000,12.000000,1.000000,6.000000,0.500000,1.000000
v5fROGxv,200,0, test, 1, 1, 19, 4, 1, 1, 4, 0.65, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 2.018501800019294, 1, 10.000000,13.000000,1.000000,6.000000,0.500000,1.000000
v5fROGxv,200,0, test, 1, 1, 20, 3, 2, 2, 3, 0.55, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 1.2705474000540562, 0, 10.000000,13.000000,1.000000,6.000000,0.500000,1.000000
v5fROGxv,200,0, test, 1, 1, 21, 4, 2, 2, 4, 0.65, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 1.1645870999782346, 0, 10.000000,13.000000,1.000000,6.000000,0.500000,1.000000
v5fROGxv,200,0, test, 1, 1, 22, 1, 3, 1, 3, 0.35, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 1.935755499987863, 1, 11.000000,14.000000,1.000000,6.000000,0.500000,1.000000
v5fROGxv,200,0, test, 1, 1, 23, 1, 2, 1, 2, 0.35, 0.45, left, 1, 0.35, 0.45, 0.55, 0.65, 0.7340803999686614, 1, 12.000000,15.000000,1.000000,6.000000,0.500000,1.000000
v5fROGxv,200,0, test, 1, 1, 24, 1, 4, 1, 4, 0.35, 0.65, left, 1, 0.35, 0.45, 0.55, 0.65, 1.501199100050144, 0, 12.000000,15.000000,1.000000,6.000000,0.500000,1.000000
v5fROGxv,200,0, test, 1, 1, 25, 1, 2, 1, 2, 0.35, 0.45, left, 1, 0.35, 0.45, 0.55, 0.65, 1.1176075999974273, 0, 12.000000,15.000000,1.000000,6.000000,0.500000,1.000000
v5fROGxv,200,0, test, 2, 7, 1, 1, 4, 1, 4, 0.35, 0.65, left, 1, 0.35, 0.45, 0.55, 0.65, 0.6045684000127949, 1, 1.000000,16.000000,1.000000,6.000000,0.500000,1.000000
v5fROGxv,200,0, test, 2, 7, 2, 2, 1, 2, 1, 0.45, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 1.7612942000268959, 0, 1.000000,16.000000,1.000000,6.000000,0.500000,1.000000
v5fROGxv,200,0, test, 2, 7, 3, 1, 4, 4, 1, 0.35, 0.65, right, 2, 0.35, 0.45, 0.55, 0.65, 1.1381281000212766, 1, 2.000000,17.000000,1.000000,6.000000,0.500000,1.000000
v5fROGxv,200,0, test, 2, 7, 4, 4, 3, 3, 4, 0.65, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 1.3551378999836743, 0, 2.000000,17.000000,1.000000,6.000000,0.500000,1.000000
v5fROGxv,200,0, test, 2, 7, 5, 2, 3, 3, 2, 0.45, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 0.937787200033199, 1, 3.000000,18.000000,1.000000,6.000000,0.500000,1.000000
v5fROGxv,200,0, test, 2, 7, 6, 2, 4, 2, 4, 0.45, 0.65, left, 1, 0.35, 0.45, 0.55, 0.65, 0.3450923999771476, 0, 3.000000,18.000000,1.000000,6.000000,0.500000,1.000000
v5fROGxv,200,0, test, 2, 7, 7, 3, 2, 2, 3, 0.55, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 1.9432190000079572, 1, 4.000000,19.000000,1.000000,6.000000,0.500000,1.000000
v5fROGxv,200,0, test, 2, 7, 8, 4, 2, 2, 4, 0.65, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 1.5466202999814413, 1, 5.000000,20.000000,1.000000,6.000000,0.500000,1.000000
v5fROGxv,200,0, test, 2, 7, 9, 1, 2, 1, 2, 0.35, 0.45, left, 1, 0.35, 0.45, 0.55, 0.65, 2.4050791999907233, 0, 5.000000,20.000000,1.000000,6.000000,0.500000,1.000000
v5fROGxv,200,0, test, 2, 7, 10, 1, 2, 2, 1, 0.35, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 2.777245600009337, 0, 5.000000,20.000000,1.000000,6.000000,0.500000,1.000000
