ShaharID, group, counterbalance, block_type, block, delay_condition, trial, chosen, unchosen, offer_left_image, offer_right_image, exp_value_chosen, exp_value_unchosen, choice_location, choice_key, exp_value1, exp_value2, exp_value3, exp_value4, RT, reward, coins_per_block, coins_per_task,ITI_duration,rt_deadline,choice_feedback_duration,outcome_duration
z0LrlWaU,200,1, practice, 1, 1, 1, 1, 3, 1, 3, 0.35, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 1.3970834000501782, 1, 1.000000,1.000000,1.000000,6.000000,0.500000,1.000000
z0LrlWaU,200,1, practice, 1, 1, 2, 4, 3, 3, 4, 0.65, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 1.661828099982813, 0, 1.000000,1.000000,1.000000,6.000000,0.500000,1.000000
z0LrlWaU,200,1, practice, 1, 1, 3, 3, 4, 3, 4, 0.55, 0.65, left, 1, 0.35, 0.45, 0.55, 0.65, 1.2882173000834882, 1, 2.000000,2.000000,1.000000,6.000000,0.500000,1.000000
z0LrlWaU,200,1, practice, 1, 1, 4, 1, 2, 2, 1, 0.35, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 0.8375363000668585, 1, 3.000000,3.000000,1.000000,6.000000,0.500000,1.000000
z0LrlWaU,200,1, practice, 1, 1, 5, 1, 2, 2, 1, 0.35, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 0.7929597001057118, 0, 3.000000,3.000000,1.000000,6.000000,0.500000,1.000000
z0LrlWaU,200,1, test, 1, 7, 1, 1, 2, 1, 2, 0.35, 0.45, left, 1, 0.35, 0.45, 0.55, 0.65, 0.9354802998714149, 0, 0.000000,3.000000,1.000000,6.000000,0.500000,1.000000
z0LrlWaU,200,1, test, 1, 7, 2, 4, 2, 2, 4, 0.65, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 1.3188621001318097, 1, 1.000000,4.000000,1.000000,6.000000,0.500000,1.000000
z0LrlWaU,200,1, test, 1, 7, 3, 3, 1, 1, 3, 0.55, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 1.3519460000097752, 0, 1.000000,4.000000,1.000000,6.000000,0.500000,1.000000
z0LrlWaU,200,1, test, 1, 7, 4, 4, 1, 1, 4, 0.65, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 0.8054254001472145, 0, 1.000000,4.000000,1.000000,6.000000,0.500000,1.000000
z0LrlWaU,200,1, test, 1, 7, 5, 2, 3, 3, 2, 0.45, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 1.3514119000174105, 0, 1.000000,4.000000,1.000000,6.000000,0.500000,1.000000
z0LrlWaU,200,1, test, 1, 7, 6, 1, 3, 3, 1, 0.35, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 1.4263445001561195, 0, 1.000000,4.000000,1.000000,6.000000,0.500000,1.000000
z0LrlWaU,200,1, test, 1, 7, 7, 4, 1, 1, 4, 0.65, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 0.5166428000666201, 1, 2.000000,5.000000,1.000000,6.000000,0.500000,1.000000
z0LrlWaU,200,1, test, 1, 7, 8, 4, 3, 3, 4, 0.65, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 0.5619530000258237, 1, 3.000000,6.000000,1.000000,6.000000,0.500000,1.000000
z0LrlWaU,200,1, test, 1, 7, 9, 2, 3, 2, 3, 0.45, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 1.2595345999579877, 1, 4.000000,7.000000,1.000000,6.000000,0.500000,1.000000
z0LrlWaU,200,1, test, 1, 7, 10, 4, 3, 4, 3, 0.65, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 0.9029071000404656, 0, 4.000000,7.000000,1.000000,6.000000,0.500000,1.000000
z0LrlWaU,200,1, test, 1, 7, 11, 4, 3, 4, 3, 0.65, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 0.5138437000568956, 0, 4.000000,7.000000,1.000000,6.000000,0.500000,1.000000
z0LrlWaU,200,1, test, 1, 7, 12, 3, 1, 3, 1, 0.55, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 1.0630642999894917, 1, 5.000000,8.000000,1.000000,6.000000,0.500000,1.000000
z0LrlWaU,200,1, test, 1, 7, 13, 3, 1, 1, 3, 0.55, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 0.6613030999433249, 1, 6.000000,9.000000,1.000000,6.000000,0.500000,1.000000
z0LrlWaU,200,1, test, 1, 7, 14, 3, 4, 3, 4, 0.55, 0.65, left, 1, 0.35, 0.45, 0.55, 0.65, 0.3029370999429375, 0, 6.000000,9.000000,1.000000,6.000000,0.500000,1.000000
z0LrlWaU,200,1, test, 1, 7, 15, 4, 2, 2, 4, 0.65, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 0.4195584000553936, 0, 6.000000,9.000000,1.000000,6.000000,0.500000,1.000000
z0LrlWaU,200,1, test, 1, 7, 16, 3, 1, 1, 3, 0.55, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 0.9432274999562651, 0, 6.000000,9.000000,1.000000,6.000000,0.500000,1.000000
z0LrlWaU,200,1, test, 1, 7, 17, 2, 3, 2, 3, 0.45, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 0.911975699942559, 1, 7.000000,10.000000,1.000000,6.000000,0.500000,1.000000
z0LrlWaU,200,1, test, 1, 7, 18, 2, 4, 4, 2, 0.45, 0.65, right, 2, 0.35, 0.45, 0.55, 0.65, 0.36643260018900037, 0, 7.000000,10.000000,1.000000,6.000000,0.500000,1.000000
z0LrlWaU,200,1, test, 1, 7, 19, 4, 3, 3, 4, 0.65, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 0.6460665001068264, 0, 7.000000,10.000000,1.000000,6.000000,0.500000,1.000000
z0LrlWaU,200,1, test, 1, 7, 20, 4, 2, 4, 2, 0.65, 0.45, left, 1, 0.35, 0.45, 0.55, 0.65, 0.4671394999604672, 1, 8.000000,11.000000,1.000000,6.000000,0.500000,1.000000
z0LrlWaU,200,1, test, 1, 7, 21, 2, 1, 2, 1, 0.45, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 1.032886300003156, 0, 8.000000,11.000000,1.000000,6.000000,0.500000,1.000000
z0LrlWaU,200,1, test, 1, 7, 22, 3, 1, 3, 1, 0.55, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 1.1560683997813612, 1, 9.000000,12.000000,1.000000,6.000000,0.500000,1.000000
z0LrlWaU,200,1, test, 1, 7, 23, 4, 3, 4, 3, 0.65, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 0.9111438000109047, 0, 9.000000,12.000000,1.000000,6.000000,0.500000,1.000000
z0LrlWaU,200,1, test, 1, 7, 24, 4, 2, 4, 2, 0.65, 0.45, left, 1, 0.35, 0.45, 0.55, 0.65, 0.38038300001062453, 1, 10.000000,13.000000,1.000000,6.000000,0.500000,1.000000
z0LrlWaU,200,1, test, 1, 7, 25, 3, 2, 2, 3, 0.55, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 0.8771500000730157, 0, 10.000000,13.000000,1.000000,6.000000,0.500000,1.000000
z0LrlWaU,200,1, test, 2, 1, 1, 1, 2, 2, 1, 0.35, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 0.8353957000654191, 0, 0.000000,13.000000,1.000000,6.000000,0.500000,1.000000
z0LrlWaU,200,1, test, 2, 1, 2, 4, 2, 2, 4, 0.65, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 1.711257299873978, 1, 1.000000,14.000000,1.000000,6.000000,0.500000,1.000000
z0LrlWaU,200,1, test, 2, 1, 3, 4, 3, 3, 4, 0.65, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 0.7567448001354933, 1, 2.000000,15.000000,1.000000,6.000000,0.500000,1.000000
z0LrlWaU,200,1, test, 2, 1, 4, 4, 1, 1, 4, 0.65, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 0.39469049987383187, 0, 2.000000,15.000000,1.000000,6.000000,0.500000,1.000000
z0LrlWaU,200,1, test, 2, 1, 5, 4, 1, 1, 4, 0.65, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 0.34839350008405745, 1, 3.000000,16.000000,1.000000,6.000000,0.500000,1.000000
z0LrlWaU,200,1, test, 2, 1, 6, 1, 2, 1, 2, 0.35, 0.45, left, 1, 0.35, 0.45, 0.55, 0.65, 1.795808200025931, 1, 4.000000,17.000000,1.000000,6.000000,0.500000,1.000000
z0LrlWaU,200,1, test, 2, 1, 7, 4, 1, 1, 4, 0.65, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 0.8225965001620352, 0, 4.000000,17.000000,1.000000,6.000000,0.500000,1.000000
z0LrlWaU,200,1, test, 2, 1, 8, 3, 1, 3, 1, 0.55, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 1.1035007999744266, 0, 4.000000,17.000000,1.000000,6.000000,0.500000,1.000000
z0LrlWaU,200,1, test, 2, 1, 9, 1, 2, 1, 2, 0.35, 0.45, left, 1, 0.35, 0.45, 0.55, 0.65, 0.9925228001084179, 1, 5.000000,18.000000,1.000000,6.000000,0.500000,1.000000
z0LrlWaU,200,1, test, 2, 1, 10, 3, 2, 2, 3, 0.55, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 1.4888834999874234, 1, 6.000000,19.000000,1.000000,6.000000,0.500000,1.000000
z0LrlWaU,200,1, test, 2, 1, 11, 4, 3, 3, 4, 0.65, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 1.0033842001575977, 1, 7.000000,20.000000,1.000000,6.000000,0.500000,1.000000
z0LrlWaU,200,1, test, 2, 1, 12, 3, 1, 1, 3, 0.55, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 1.3148201999720186, 0, 7.000000,20.000000,1.000000,6.000000,0.500000,1.000000
z0LrlWaU,200,1, test, 2, 1, 13, 1, 3, 1, 3, 0.35, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 1.118884699884802, 0, 7.000000,20.000000,1.000000,6.000000,0.500000,1.000000
z0LrlWaU,200,1, test, 2, 1, 14, 1, 3, 1, 3, 0.35, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 0.4308539000339806, 0, 7.000000,20.000000,1.000000,6.000000,0.500000,1.000000
z0LrlWaU,200,1, test, 2, 1, 15, 1, 3, 3, 1, 0.35, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 1.486245600041002, 0, 7.000000,20.000000,1.000000,6.000000,0.500000,1.000000
z0LrlWaU,200,1, test, 2, 1, 16, 4, 2, 2, 4, 0.65, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 0.7954434000421315, 1, 8.000000,21.000000,1.000000,6.000000,0.500000,1.000000
z0LrlWaU,200,1, test, 2, 1, 17, 3, 2, 3, 2, 0.55, 0.45, left, 1, 0.35, 0.45, 0.55, 0.65, 1.2682205999735743, 0, 8.000000,21.000000,1.000000,6.000000,0.500000,1.000000
z0LrlWaU,200,1, test, 2, 1, 18, 2, 3, 3, 2, 0.45, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 0.5706267000641674, 0, 8.000000,21.000000,1.000000,6.000000,0.500000,1.000000
z0LrlWaU,200,1, test, 2, 1, 19, 4, 2, 4, 2, 0.65, 0.45, left, 1, 0.35, 0.45, 0.55, 0.65, 0.6855427999980748, 1, 9.000000,22.000000,1.000000,6.000000,0.500000,1.000000
z0LrlWaU,200,1, test, 2, 1, 20, 4, 3, 4, 3, 0.65, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 0.3540958999656141, 1, 10.000000,23.000000,1.000000,6.000000,0.500000,1.000000
z0LrlWaU,200,1, test, 2, 1, 21, 4, 3, 3, 4, 0.65, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 0.4002525999676436, 1, 11.000000,24.000000,1.000000,6.000000,0.500000,1.000000
z0LrlWaU,200,1, test, 2, 1, 22, 4, 3, 3, 4, 0.65, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 0.35425620013847947, 0, 11.000000,24.000000,1.000000,6.000000,0.500000,1.000000
z0LrlWaU,200,1, test, 2, 1, 23, 2, 3, 2, 3, 0.45, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 1.5968557000160217, 1, 12.000000,25.000000,1.000000,6.000000,0.500000,1.000000
z0LrlWaU,200,1, test, 2, 1, 24, 4, 1, 4, 1, 0.65, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 0.7356585999950767, 1, 13.000000,26.000000,1.000000,6.000000,0.500000,1.000000
z0LrlWaU,200,1, test, 2, 1, 25, 2, 3, 3, 2, 0.45, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 1.3005770000163466, 0, 13.000000,26.000000,1.000000,6.000000,0.500000,1.000000
z0LrlWaU,200,1, test, 3, 7, 1, 2, 3, 3, 2, 0.45, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 0.9001505000051111, 1, 1.000000,27.000000,1.000000,6.000000,0.500000,1.000000
z0LrlWaU,200,1, test, 3, 7, 2, 2, 1, 2, 1, 0.45, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 0.6718224000651389, 1, 2.000000,28.000000,1.000000,6.000000,0.500000,1.000000
z0LrlWaU,200,1, test, 3, 7, 3, 4, 3, 4, 3, 0.65, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 1.1225894999224693, 0, 2.000000,28.000000,1.000000,6.000000,0.500000,1.000000
z0LrlWaU,200,1, test, 3, 7, 4, 1, 4, 4, 1, 0.35, 0.65, right, 2, 0.35, 0.45, 0.55, 0.65, 0.7716973999049515, 1, 3.000000,29.000000,1.000000,6.000000,0.500000,1.000000
z0LrlWaU,200,1, test, 3, 7, 5, 2, 4, 2, 4, 0.45, 0.65, left, 1, 0.35, 0.45, 0.55, 0.65, 0.44872880005277693, 0, 3.000000,29.000000,1.000000,6.000000,0.500000,1.000000
z0LrlWaU,200,1, test, 3, 7, 6, 2, 1, 2, 1, 0.45, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 0.9228260000236332, 1, 4.000000,30.000000,1.000000,6.000000,0.500000,1.000000
z0LrlWaU,200,1, test, 3, 7, 7, 1, 3, 1, 3, 0.35, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 1.035407500108704, 0, 4.000000,30.000000,1.000000,6.000000,0.500000,1.000000
z0LrlWaU,200,1, test, 3, 7, 8, 2, 3, 3, 2, 0.45, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 0.9582422999665141, 1, 5.000000,31.000000,1.000000,6.000000,0.500000,1.000000
z0LrlWaU,200,1, test, 3, 7, 9, 2, 3, 2, 3, 0.45, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 0.3847288000397384, 1, 6.000000,32.000000,1.000000,6.000000,0.500000,1.000000
z0LrlWaU,200,1, test, 3, 7, 10, 2, 1, 2, 1, 0.45, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 0.4874249999411404, 0, 6.000000,32.000000,1.000000,6.000000,0.500000,1.000000
z0LrlWaU,200,1, test, 3, 7, 11, 3, 4, 4, 3, 0.55, 0.65, right, 2, 0.35, 0.45, 0.55, 0.65, 1.160025400109589, 0, 6.000000,32.000000,1.000000,6.000000,0.500000,1.000000
z0LrlWaU,200,1, test, 3, 7, 12, 4, 1, 4, 1, 0.65, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 0.7757826999295503, 1, 7.000000,33.000000,1.000000,6.000000,0.500000,1.000000
z0LrlWaU,200,1, test, 3, 7, 13, 3, 2, 2, 3, 0.55, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 1.0284221000038087, 0, 7.000000,33.000000,1.000000,6.000000,0.500000,1.000000
z0LrlWaU,200,1, test, 3, 7, 14, 3, 4, 4, 3, 0.55, 0.65, right, 2, 0.35, 0.45, 0.55, 0.65, 1.6036650999449193, 0, 7.000000,33.000000,1.000000,6.000000,0.500000,1.000000
z0LrlWaU,200,1, test, 3, 7, 15, 2, 3, 2, 3, 0.45, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 0.8207852998748422, 1, 8.000000,34.000000,1.000000,6.000000,0.500000,1.000000
